row,quantile,popn_slope,sample_mean_slope,slopeCI_bootstrap_coverage,slopeCI_evd_max_coverage,slopeCI_binomial_max_coverage,mean_bootstrapCI_slope_std,mean_evd_maxCI_slope_std,mean_binomial_maxCI_slope_std,mean_evd_lb_slope_std,mean_evd_ub_slope_std,popn_intercept,sample_mean_intercept,interceptCI_bootstrap_coverage,interceptCI_evd_max_coverage,interceptCI_binomial_max_coverage,mean_bootstrapCI_intercept_std,mean_evd_maxCI_std,mean_binomial_maxCI_std,mean_evd_lb_std,mean_evd_ub_std,Rsquared,1-QR_residualVAR/YVAR,R1
1,0.025,1,1.000265551,0.95,0.959,0.94,0.029897088,0.033832111,0.03061889,0.032346602,-0.022577857,-19.59963985,-19.59716771,0.948,0.941,0.921,1.306511377,1.313251687,1.188560617,1.255290702,-0.876501653,0.898737377,0.898130766,0.530804033
2,0.05,1,1.000431802,0.947,0.958,0.948,0.023497021,0.026041583,0.024576631,0.024534284,-0.019539398,-16.44853627,-16.48185838,0.947,0.942,0.924,1.024396417,1.011156839,0.954297201,0.952793505,-0.758322718,0.898737377,0.898406553,0.553941612
3,0.1,1,1.001357101,0.953,0.969,0.961,0.01879702,0.020528801,0.019785679,0.019156787,-0.016622744,-12.81551566,-12.85565847,0.947,0.937,0.925,0.835134461,0.79702072,0.768231068,0.743572248,-0.645585148,0.898737377,0.898545337,0.583559931
4,0.2,1,1.001147398,0.938,0.946,0.942,0.015486226,0.016472677,0.016083757,0.01519888,-0.014269029,-8.416212336,-8.459579604,0.936,0.908,0.901,0.690383929,0.639381069,0.624269054,0.590080082,-0.553799336,0.898737377,0.898622789,0.622304848
5,0.25,1,1.000568207,0.934,0.945,0.945,0.014841788,0.01569144,0.01569144,0.014516555,-0.0136654,-6.744897502,-6.761089706,0.935,0.92,0.92,0.658253937,0.609267268,0.609267268,0.563636269,-0.530497473,0.898737377,0.898654587,0.637391015
6,0.3,1,1.000679193,0.94,0.949,0.945,0.014293088,0.015194628,0.014913667,0.013979244,-0.013584038,-5.244005127,-5.273650805,0.946,0.929,0.923,0.631939519,0.589830513,0.578928152,0.542623308,-0.527317888,0.898737377,0.898662777,0.650859803
7,0.4,1,1.00057678,0.943,0.948,0.943,0.013775781,0.014678983,0.014202228,0.013475327,-0.013162004,-2.533471031,-2.550960448,0.946,0.933,0.921,0.615057526,0.569902178,0.551421301,0.523199932,-0.511029179,0.898737377,0.898674269,0.67414431
8,0.5,1,1.000331405,0.944,0.953,0.953,0.013605444,0.014235178,0.014235178,0.012949201,-0.0129232,0,0.002454782,0.956,0.926,0.926,0.605826179,0.552645209,0.552645209,0.502662227,-0.501805022,0.898737377,0.89868156,0.693230475
9,0.6,1,1.000308991,0.957,0.964,0.958,0.013713985,0.014648433,0.014202541,0.013159437,-0.01337638,2.533471031,2.536578723,0.946,0.926,0.912,0.612394845,0.568537073,0.551222702,0.510772178,-0.519221908,0.898737377,0.898677115,0.70753947
10,0.7,1,1.000118457,0.943,0.954,0.95,0.014311369,0.015436797,0.01516681,0.013693515,-0.014161189,5.244005127,5.256087534,0.939,0.921,0.917,0.638126751,0.599209806,0.588741042,0.531632478,-0.549642731,0.898737377,0.898665362,0.71615514
11,0.75,1,1.000024674,0.952,0.954,0.954,0.014771951,0.015587816,0.015587816,0.013630524,-0.014372032,6.744897502,6.758097864,0.948,0.937,0.937,0.655611279,0.605196026,0.605196026,0.529160108,-0.557977906,0.898737377,0.898649356,0.717974603
12,0.8,1,1.000172096,0.948,0.958,0.955,0.015518893,0.016429176,0.016033722,0.014046678,-0.015285786,8.416212336,8.411806108,0.944,0.918,0.916,0.685366065,0.637857452,0.622504879,0.545477832,-0.59344006,0.898737377,0.898623725,0.717593725
13,0.9,1,1.000062438,0.957,0.962,0.956,0.018741888,0.020117224,0.019424824,0.016553917,-0.018782526,12.81551566,12.80341953,0.947,0.928,0.922,0.828943339,0.780872789,0.753976058,0.642448925,-0.72922138,0.898737377,0.898540333,0.706504792
14,0.95,1,0.99967048,0.958,0.963,0.958,0.023344597,0.026100058,0.024623297,0.019623709,-0.024700062,16.44853627,16.43759728,0.953,0.942,0.923,1.029871249,1.013334173,0.955995809,0.761768859,-0.958993475,0.898737377,0.898379723,0.690504151
15,0.975,1,1.000521799,0.948,0.96,0.94,0.03017495,0.034206921,0.031086878,0.022832588,-0.032508295,19.59963985,19.57091792,0.932,0.92,0.901,1.313727068,1.328204193,1.206934129,0.886327808,-1.262378252,0.898737377,0.898072062,0.674833925
