row,quantile,popn_slope,sample_mean_slope,slopeCI_bootstrap_coverage,slopeCI_evd_max_coverage,slopeCI_binomial_max_coverage,mean_bootstrapCI_slope_std,mean_evd_maxCI_slope_std,mean_binomial_maxCI_slope_std,mean_evd_lb_slope_std,mean_evd_ub_slope_std,popn_intercept,sample_mean_intercept,interceptCI_bootstrap_coverage,interceptCI_evd_max_coverage,interceptCI_binomial_max_coverage,mean_bootstrapCI_intercept_std,mean_evd_maxCI_std,mean_binomial_maxCI_std,mean_evd_lb_std,mean_evd_ub_std,Rsquared,1-QR_residualVAR/YVAR,R1
1,0.025,1,1.000265551,0.95,0.959,0.949,0.029897088,0.033798262,0.031510993,0.032314239,-0.022555267,-19.59963985,-19.59716771,0.948,0.941,0.933,1.306511377,1.311937778,1.223175286,1.254034783,-0.875624712,0.898737377,0.898130766,0.530804033
2,0.05,1,1.000431802,0.947,0.958,0.956,0.023497021,0.026015529,0.025169385,0.024509737,-0.019519849,-16.44853627,-16.48185838,0.947,0.941,0.932,1.024396417,1.010145176,0.977180415,0.951840235,-0.757564015,0.898737377,0.898406553,0.553941612
3,0.1,1,1.001357101,0.953,0.969,0.966,0.01879702,0.020508262,0.020198332,0.019137621,-0.016606113,-12.81551566,-12.85565847,0.947,0.937,0.933,0.835134461,0.796223301,0.784252335,0.742828304,-0.64493924,0.898737377,0.898545337,0.583559931
4,0.2,1,1.001147398,0.938,0.945,0.948,0.015486226,0.016456196,0.016720179,0.015183673,-0.014254753,-8.416212336,-8.459579604,0.936,0.907,0.911,0.690383929,0.638741368,0.648964717,0.589489707,-0.553245259,0.898737377,0.898622789,0.622304848
5,0.25,1,1.000568207,0.934,0.945,0.947,0.014841788,0.015675741,0.015945131,0.014502031,-0.013651728,-6.744897502,-6.761089706,0.935,0.92,0.922,0.658253937,0.608657696,0.619091325,0.563072351,-0.52996671,0.898737377,0.898654587,0.637391015
6,0.3,1,1.000679193,0.94,0.949,0.949,0.014293088,0.015179426,0.015179426,0.013965257,-0.013570447,-5.244005127,-5.273650805,0.946,0.929,0.929,0.631939519,0.589240387,0.589240387,0.542080413,-0.526790306,0.898737377,0.898662777,0.650859803
7,0.4,1,1.00057678,0.943,0.948,0.948,0.013775781,0.014664296,0.014664296,0.013461845,-0.013148836,-2.533471031,-2.550960448,0.946,0.933,0.933,0.615057526,0.569331991,0.569331991,0.522676471,-0.510517894,0.898737377,0.898674269,0.67414431
8,0.5,1,1.000331405,0.944,0.957,0.957,0.013605444,0.014654967,0.014654967,0.013335736,-0.013341337,0,0.002454782,0.956,0.934,0.934,0.605826179,0.568939404,0.568939404,0.51767523,-0.518021399,0.898737377,0.89868156,0.693230475
9,0.6,1,1.000308991,0.957,0.964,0.964,0.013713985,0.014633777,0.014633777,0.013146271,-0.013362997,2.533471031,2.536578723,0.946,0.926,0.926,0.612394845,0.567968251,0.567968251,0.51026115,-0.518702426,0.898737377,0.898677115,0.70753947
10,0.7,1,1.000118457,0.943,0.953,0.953,0.014311369,0.015421353,0.015421353,0.013679814,-0.01414702,5.244005127,5.256087534,0.939,0.921,0.921,0.638126751,0.598610296,0.598610296,0.531100579,-0.549092813,0.898737377,0.898665362,0.71615514
11,0.75,1,1.000024674,0.952,0.954,0.959,0.014771951,0.015572221,0.015811567,0.013616886,-0.014357653,6.744897502,6.758097864,0.948,0.936,0.938,0.655611279,0.604590527,0.61385052,0.528630683,-0.557419649,0.898737377,0.898649356,0.717974603
12,0.8,1,1.000172096,0.948,0.958,0.961,0.015518893,0.016412738,0.016660754,0.014032625,-0.015270493,8.416212336,8.411806108,0.944,0.918,0.92,0.685366065,0.637219275,0.646847783,0.544932081,-0.592846323,0.898737377,0.898623725,0.717593725
13,0.9,1,1.000062438,0.957,0.962,0.96,0.018741888,0.020097097,0.019807512,0.016537355,-0.018763734,12.81551566,12.80341953,0.947,0.928,0.924,0.828943339,0.780091526,0.76883076,0.641806155,-0.728491794,0.898737377,0.898540333,0.706504792
14,0.95,1,0.99967048,0.958,0.963,0.961,0.023344597,0.026073945,0.025185479,0.019604075,-0.024675349,16.44853627,16.43759728,0.953,0.942,0.933,1.029871249,1.012320332,0.977808719,0.761006709,-0.958034002,0.898737377,0.898379723,0.690504151
15,0.975,1,1.000521799,0.948,0.96,0.952,0.03017495,0.034172697,0.031953952,0.022809744,-0.03247577,19.59963985,19.57091792,0.932,0.92,0.911,1.313727068,1.326875324,1.240442918,0.885441037,-1.261115242,0.898737377,0.898072062,0.674833925
