"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",0.025,1,1.00939882996999,0.963,0.952,0.938,0.371042822735273,0.402976306543238,0.359972781462092,0.386071766866239,-0.252816338331172,-29.916127518622,-29.8785577034246,0.935,0.917,0.886,3.08639177547958,3.03055186383532,2.70722468395029,2.9036217266335,-1.90044613301748,0.561396555482646,0.547446849090453,0.173344035392096,0.5,0.500317442885485,0.961,0.954,0.939,0.0705246645289608,0.0780206055396827,0.0696944802955611,0.0747506777833847,-0.0489397998807737
"2",0.05,1,1.00667013571003,0.959,0.959,0.944,0.25331659411464,0.269294752753536,0.251017716267737,0.254586783280175,-0.196167266614053,-23.0061590745936,-22.9728432091013,0.947,0.93,0.912,2.11390251141898,2.02409003345729,1.88691665087818,1.91383336159022,-1.47356971449082,0.561396555482646,0.555163126022193,0.198372984091364,0.5,0.499674855404619,0.959,0.956,0.948,0.048454000419905,0.052124722107748,0.0485889044344655,0.0492826637005506,-0.0379655676630074
"3",0.1,1,1.01097176521188,0.96,0.956,0.951,0.173203691723615,0.181469069699384,0.173434561731373,0.172528989822986,-0.140559519171031,-16.0628654037831,-16.0685403340499,0.947,0.929,0.924,1.45841147548271,1.36391382698523,1.30354450407932,1.29687891609685,-1.05601545128982,0.561396555482646,0.558817505035373,0.235444425282355,0.5,0.500878789284662,0.964,0.964,0.957,0.0335724407687424,0.0351308770160826,0.0335756768837526,0.0334026172151198,-0.0272069647993854
"4",0.2,1,1.00546648720959,0.956,0.953,0.947,0.112392352854755,0.117469010336519,0.114157102196311,0.110944051560859,-0.0971407194766443,-9.1348607234676,-9.14191118413422,0.95,0.918,0.913,0.964854839350003,0.882951806303408,0.8580534049466,0.833871563755698,-0.730236293522311,0.561396555482646,0.560418240162393,0.293752775888716,0.5,0.499967344685902,0.962,0.959,0.954,0.0217476403176909,0.0227402897444578,0.0220997993537967,0.0214753331063189,-0.0188072914536317
"5",0.25,1,1.00303773703778,0.947,0.947,0.947,0.0978278309532343,0.101419698382383,0.101419698382383,0.0958830669313011,-0.085676259622419,-6.91619824360126,-6.91635380903064,0.941,0.913,0.913,0.835014562648528,0.762557802470075,0.762557802470075,0.720951250775666,-0.644051821535636,0.561396555482646,0.56067728869436,0.319207913055069,0.5,0.499819362755832,0.955,0.961,0.961,0.0189637930706692,0.0196340505090891,0.0196340505090891,0.0185624107353776,-0.0165869923124859
"6",0.3,1,1.0017575317212,0.95,0.954,0.95,0.0861690029027872,0.0903073772654773,0.088148781655049,0.0851818736588308,-0.0772819029067277,-5.09702865050128,-5.09951360699852,0.937,0.92,0.914,0.737019296510991,0.679088758346711,0.662868128835177,0.640562492776732,-0.580989358348873,0.561396555482646,0.560844867955922,0.342308154029177,0.5,0.499859321698547,0.956,0.967,0.96,0.0166636941478902,0.0174845001358329,0.0170666572105831,0.0164926034750578,-0.0149596965915314
"7",0.4,1,1.00199214079945,0.955,0.964,0.954,0.0694702380629528,0.0729924901616927,0.0705901056107484,0.068830415296912,-0.0626934349946825,-2.22989215059903,-2.220942630815,0.958,0.938,0.926,0.591717677054035,0.548682447232488,0.53062551430787,0.517370514911003,-0.471290841513188,0.561396555482646,0.560964504594079,0.379893429732883,0.5,0.499583727329058,0.965,0.971,0.963,0.0134075821469355,0.014130018920175,0.0136650161413156,0.0133244063546554,-0.0121365250934751
"8",0.5,1,1.00153732499835,0.955,0.957,0.957,0.0604416333016723,0.0608207795726065,0.0608207795726065,0.0550529288981642,-0.0551960201383548,0.00560627513970675,0.0255898716385694,0.959,0.934,0.934,0.507058383215285,0.457081491114011,0.457081491114011,0.413691337072134,-0.414893454475105,0.561396555482646,0.560970836346885,0.404780432960643,0.5,0.499676299639196,0.958,0.953,0.953,0.0116733327481172,0.0117730336467166,0.0117730336467166,0.0106565093447132,-0.0106845378598939
"9",0.6,1,0.998975048763526,0.943,0.952,0.942,0.0694302152681611,0.072955032936068,0.0705174040101548,0.0629593334536205,-0.068367910186484,2.23068368869043,2.26760646777884,0.952,0.934,0.924,0.590920936603065,0.54830199499357,0.529966005637385,0.473189172183868,-0.513848226648307,0.561396555482646,0.560942370182397,0.415713082395324,0.5,0.499979621508381,0.964,0.967,0.961,0.0134107081534562,0.014124180555473,0.0136523148534591,0.0121862022426526,-0.0132376759932381
"10",0.7,1,0.998584312742235,0.941,0.95,0.948,0.0864405119077361,0.0910102307435487,0.0890374379611849,0.0777872164645144,-0.0855236218626324,5.12322057554909,5.17445834787419,0.949,0.922,0.913,0.739892989179294,0.683918245426108,0.669070188523239,0.584693096172564,-0.642677156692821,0.561396555482646,0.560806642050397,0.413917543566175,0.5,0.499641086454052,0.958,0.961,0.957,0.0167504369895778,0.0176163045674384,0.0172344677998883,0.0150587413529086,-0.0165535365145785
"11",0.75,1,0.99937464608517,0.945,0.952,0.952,0.0984358170792282,0.102400533333342,0.102400533333342,0.0864147161465142,-0.0965629350023094,6.95198903209101,7.00661373371531,0.961,0.931,0.931,0.845541001056688,0.769613965200374,0.769613965200374,0.649417296148198,-0.725742671478472,0.561396555482646,0.560695623890426,0.408105114506225,0.5,0.499514807647197,0.952,0.948,0.948,0.0190930923218194,0.0198208549460578,0.0198208549460578,0.016725735419073,-0.0186915042867827
"12",0.8,1,1.00084952146824,0.956,0.959,0.954,0.113143198138552,0.117724224668674,0.114225035930095,0.0969725402779901,-0.111545553139167,9.19537558177404,9.2477572716228,0.93,0.914,0.907,0.967506343489038,0.884941121676218,0.858645764240409,0.728994091255245,-0.838411801892838,0.561396555482646,0.560479746068472,0.398467955473334,0.5,0.499262451349022,0.952,0.954,0.951,0.021932338101312,0.0227900698212009,0.0221127771084788,0.0187729077013701,-0.0215932335442895
"13",0.9,1,1.00527170218275,0.957,0.953,0.949,0.173263237152089,0.184018852912235,0.175623518010129,0.141567780669908,-0.175696994989607,16.1039571434893,16.2014542046832,0.94,0.921,0.904,1.47207371125871,1.38324646777634,1.32028136346207,1.06437633406678,-1.32053843761216,0.561396555482646,0.55892445894745,0.360135404366676,0.5,0.499029532287289,0.961,0.962,0.955,0.0334905037126015,0.0356201272038222,0.0339955002628819,0.027403840574236,-0.0340117491168394
"14",0.95,1,0.99981513895887,0.947,0.953,0.932,0.254139681081846,0.273673049529721,0.253744395529198,0.191230620634305,-0.262676148157954,23.0576094323237,23.1100007009473,0.923,0.915,0.892,2.11598986506849,2.05765302628201,1.90786455234922,1.43815035580128,-1.97455576427819,0.561396555482646,0.554607719020223,0.318309261970815,0.5,0.499920446189247,0.947,0.936,0.926,0.0486381116787257,0.0529855555177652,0.0491266617267275,0.0370219830838486,-0.0508569113595466
"15",0.975,1,0.995528098710268,0.951,0.948,0.93,0.374066363087988,0.401995149340709,0.359175126256068,0.250055994489437,-0.386892674104418,30.1137131556958,30.0377420331857,0.929,0.909,0.872,3.07815778693364,3.022000480409,2.69958097530247,1.88028826332999,-2.90780672634193,0.561396555482646,0.546101280152917,0.282523588043575,0.5,0.500883620624044,0.953,0.949,0.924,0.0707860768001436,0.0778136894723132,0.0695243414069891,0.0484241927182841,-0.0748784002027782
