"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",0.025,1,1.00939882996999,0.963,0.952,0.943,0.371042822735273,0.402371388053778,0.369840579282734,0.385492224232482,-0.252436828977866,-29.916127518622,-29.8785577034246,0.935,0.917,0.895,3.08639177547958,3.02600262154505,2.78117706311359,2.89926302256004,-1.89759332260303,0.561396555482646,0.547446849090453,0.173344035392096,0.5,0.500317442885485,0.961,0.954,0.946,0.0705246645289608,0.0779034867262847,0.0716010666013026,0.0746384675458183,-0.0488663350409366
"2",0.05,1,1.00667013571003,0.959,0.959,0.953,0.25331659411464,0.26889050721252,0.25676507792054,0.254204616264701,-0.195872794694303,-23.0061590745936,-22.9728432091013,0.947,0.93,0.919,2.11390251141898,2.02105161788374,1.9299746082401,1.91096045524965,-1.47135769966184,0.561396555482646,0.555163126022193,0.198372984091364,0.5,0.499674855404619,0.959,0.956,0.952,0.048454000419905,0.0520464762961483,0.0497009018055208,0.0492086841786824,-0.037908576536062
"3",0.1,1,1.01097176521188,0.96,0.956,0.955,0.173203691723615,0.181196661635327,0.176265118380446,0.172270001951448,-0.140348521525176,-16.0628654037831,-16.0685403340499,0.947,0.929,0.929,1.45841147548271,1.36186641953577,1.32475548037234,1.29493213654133,-1.05443023831013,0.561396555482646,0.558817505035373,0.235444425282355,0.5,0.500878789284662,0.964,0.964,0.96,0.0335724407687424,0.0350781411189271,0.0341233885749429,0.0333524756548799,-0.0271661236983529
"4",0.2,1,1.00546648720959,0.956,0.951,0.951,0.112392352854755,0.117292674469777,0.117292674469777,0.11077751048389,-0.096994898949887,-9.1348607234676,-9.14191118413422,0.95,0.918,0.918,0.964854839350003,0.88162638378039,0.88162638378039,0.832619816894753,-0.729140116331608,0.561396555482646,0.560418240162393,0.293752775888716,0.5,0.499967344685902,0.962,0.958,0.958,0.0217476403176909,0.0227061536885688,0.0227061536885688,0.021443095910602,-0.0187790593264514
"5",0.25,1,1.00303773703778,0.947,0.947,0.947,0.0978278309532343,0.101267454566182,0.101267454566182,0.0957391343003471,-0.0855476487023429,-6.91619824360126,-6.91635380903064,0.941,0.913,0.913,0.835014562648528,0.761413106599608,0.761413106599608,0.719869011610454,-0.643085018156154,0.561396555482646,0.56067728869436,0.319207913055069,0.5,0.499819362755832,0.955,0.961,0.961,0.0189637930706692,0.0196045773118239,0.0196045773118239,0.0185345462051795,-0.0165620931356077
"6",0.3,1,1.0017575317212,0.95,0.953,0.953,0.0861690029027872,0.0901718144510996,0.0901718144510996,0.0850540048747202,-0.0771658929795686,-5.09702865050128,-5.09951360699852,0.937,0.92,0.92,0.737019296510991,0.678069360086222,0.678069360086222,0.639600927321783,-0.58011721971606,0.561396555482646,0.560844867955922,0.342308154029177,0.5,0.499859321698547,0.956,0.967,0.967,0.0166636941478902,0.017458253686006,0.017458253686006,0.0164678459877827,-0.0149372401916936
"7",0.4,1,1.00199214079945,0.955,0.963,0.957,0.0694702380629528,0.0728829191864925,0.0713524912510491,0.0687270921233798,-0.0625993242060822,-2.22989215059903,-2.220942630815,0.958,0.937,0.93,0.591717677054035,0.547858805366244,0.536369118976304,0.516593876222104,-0.470583374251924,0.561396555482646,0.560964504594079,0.379893429732883,0.5,0.499583727329058,0.965,0.97,0.966,0.0134075821469355,0.0141088079716342,0.0138127473808377,0.0133044047326391,-0.0121183066317253
"8",0.5,1,1.00153732499835,0.955,0.962,0.957,0.0604416333016723,0.0627672184634003,0.0607294798770427,0.0569912618927418,-0.0569769124820419,0.00560627513970675,0.0255898716385694,0.959,0.943,0.934,0.507058383215285,0.471741425104906,0.456395353887889,0.428237521738048,-0.428324329732818,0.561396555482646,0.560970836346885,0.404780432960643,0.5,0.499676299639196,0.958,0.961,0.952,0.0116733327481172,0.0121498892522466,0.0117553608316793,0.0110316431457627,-0.0110295297914885
"9",0.6,1,0.998975048763526,0.943,0.952,0.945,0.0694302152681611,0.0728455181889089,0.0713431823919654,0.0628648235177464,-0.0682652812917177,2.23068368869043,2.26760646777884,0.952,0.933,0.926,0.590920936603065,0.547478924234338,0.536176052819263,0.472478855287766,-0.513076875360332,0.561396555482646,0.560942370182397,0.415713082395324,0.5,0.499979621508381,0.964,0.967,0.962,0.0134107081534562,0.0141029783710574,0.0138117878601451,0.0121679092092083,-0.0132178045644822
"10",0.7,1,0.998584312742235,0.941,0.95,0.95,0.0864405119077361,0.0908736128570554,0.0908736128570554,0.0776704479976865,-0.0853952400711716,5.12322057554909,5.17445834787419,0.949,0.922,0.922,0.739892989179294,0.682891597493662,0.682891597493662,0.583815397760049,-0.641712416859425,0.561396555482646,0.560806642050397,0.413917543566175,0.5,0.499641086454052,0.958,0.961,0.961,0.0167504369895778,0.0175898602624612,0.0175898602624612,0.0150361362743358,-0.0165286875590915
"11",0.75,1,0.99937464608517,0.945,0.952,0.952,0.0984358170792282,0.102246817159617,0.102246817159617,0.0862849967096399,-0.0964179818032479,6.95198903209101,7.00661373371531,0.961,0.93,0.93,0.845541001056688,0.768458677135699,0.768458677135699,0.648442438511567,-0.724653239783757,0.561396555482646,0.560695623890426,0.408105114506225,0.5,0.499514807647197,0.952,0.947,0.947,0.0190930923218194,0.0197911013316664,0.0197911013316664,0.0167006279712143,-0.0186634459708091
"12",0.8,1,1.00084952146824,0.956,0.959,0.959,0.113143198138552,0.117547505692886,0.117547505692886,0.0968269722095166,-0.111378109132124,9.19537558177404,9.2477572716228,0.93,0.914,0.914,0.967506343489038,0.883612712938797,0.883612712938797,0.727899778767521,-0.837153239559244,0.561396555482646,0.560479746068472,0.398467955473334,0.5,0.499262451349022,0.952,0.954,0.954,0.021932338101312,0.02275585903911,0.02275585903911,0.0187447271885581,-0.0215608193650783
"13",0.9,1,1.00527170218275,0.957,0.953,0.953,0.173263237152089,0.183742617300542,0.178526301455753,0.141355269495805,-0.175433251540957,16.1039571434893,16.2014542046832,0.94,0.921,0.91,1.47207371125871,1.38117003958378,1.34206030642418,1.06277857034279,-1.31855614211741,0.561396555482646,0.55892445894745,0.360135404366676,0.5,0.499029532287289,0.961,0.961,0.957,0.0334905037126015,0.0355666568801514,0.0345569482176776,0.0273627039377231,-0.0339606931724437
"14",0.95,1,0.99981513895887,0.947,0.953,0.935,0.254139681081846,0.273262231610555,0.258169407252134,0.190943559245598,-0.262281837980952,23.0576094323237,23.1100007009473,0.923,0.914,0.897,2.11598986506849,2.05456422840412,1.94118465710037,1.43599150991699,-1.97159170591821,0.561396555482646,0.554607719020223,0.318309261970815,0.5,0.499920446189247,0.947,0.936,0.93,0.0486381116787257,0.0529060174861575,0.0499845253442262,0.0369664083968999,-0.0507805686924997
"15",0.975,1,0.995528098710268,0.951,0.948,0.939,0.374066363087988,0.401391703692513,0.367190226418799,0.249680628761946,-0.386311899184895,30.1137131556958,30.0377420331857,0.929,0.908,0.883,3.07815778693364,3.01746407482864,2.76020148540579,1.87746571243175,-2.90344174005371,0.561396555482646,0.546101280152917,0.282523588043575,0.5,0.500883620624044,0.953,0.949,0.934,0.0707860768001436,0.0776968812661468,0.0710788398030046,0.0483515018701205,-0.0747659982376791
