"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.025,0.353877103650556,0.355587799720246,0.929,0.976,0.965,0.0172857580487711,0.0242108311298672,0.022383622814216,0.0231031090681185,-0.0160942376979586,-740.041294014477,-734.436216107036,0.917,0.963,0.93,0.307,0.294,0.954,0.937,62.7429730748159,84.1815183209302,13.0258943344607,72.8415767766489,-3190.33771841734,-3454.34402916857,0.796507404112753,0.518154244872678
"2",0.05,0.376800272691133,0.377529095611268,0.933,0.969,0.963,0.0137602090151313,0.0184355567954638,0.017837348771592,0.017306249188957,-0.0139341527235201,-623.100935285905,-620.738369910571,0.929,0.956,0.941,0.299,0.289,0.955,0.955,50.1558152857562,62.8427583096531,9.29318933247766,57.6800581942224,-3190.33771841734,-3502.28444470689,0.792252206310361,0.548586767341629
"3",0.1,0.404154712419879,0.404639199077757,0.937,0.979,0.981,0.0111292719543311,0.014290354881731,0.0141051005310141,0.0132910625851305,-0.0115951345404495,-484.94079043521,-483.3141432558,0.936,0.964,0.951,0.259,0.253,0.964,0.957,40.6542762865866,48.6318284549272,7.35229587221818,45.9217848609652,-3190.33771841734,-3464.49116923557,0.795090201959608,0.582694459330989
"4",0.2,0.436918247462095,0.437122344371536,0.951,0.978,0.979,0.00929372309429799,0.0115167873378522,0.0116872158806495,0.0106742350651842,-0.00985410642100385,-318.766608352481,-318.091208853077,0.949,0.963,0.963,0.246,0.25,0.959,0.963,34.0139286543217,39.0237978394663,6.07138241240544,39.0331477789809,-3190.33771841734,-3462.03858306476,0.800512898553055,0.62246984159255
"5",0.25,0.449511084937412,0.449723483053699,0.948,0.971,0.974,0.00891889856920899,0.0107397031828229,0.0108941001034267,0.0099570591523358,-0.00940431257207946,-255.091328945681,-254.382352222715,0.949,0.964,0.964,0.265,0.263,0.957,0.961,32.6138427535197,36.2533403588989,5.53349795851851,36.258739990964,-3190.33771841734,-3511.50734363198,0.802802718696978,0.637032216874953
"6",0.3,0.460862833636334,0.460887929937412,0.953,0.971,0.971,0.008552743539698,0.010414316905075,0.010414316905075,0.00965540910844605,-0.00918628018880703,-197.797116648405,-197.743551229857,0.951,0.964,0.964,0.268,0.27,0.953,0.953,31.2835809064066,35.0842224283772,5.35386130416509,35.0870138393637,-3190.33771841734,-3503.97314613026,0.805602866567704,0.649837325644094
"7",0.4,0.480927404029618,0.481115099683482,0.95,0.969,0.969,0.00819283734804576,0.00987479606656468,0.00987479606656468,0.00902044301165266,-0.00888449284961005,-96.110044948177,-95.4597360201374,0.945,0.954,0.954,0.274,0.274,0.952,0.952,29.930257387098,32.9880645065117,5.20758283502695,32.9974387192291,-3190.33771841734,-3462.19458435711,0.810623624673319,0.672185289076318
"8",0.5,0.500039910484798,0.500010993687757,0.955,0.978,0.978,0.00813892938181526,0.00989007230080266,0.00989007230080266,0.00897939250563409,-0.00900171512671588,0.479887004066843,0.377990878962806,0.952,0.951,0.951,0.248,0.249,0.954,0.954,29.7499701012905,32.7235100662721,5.06932506715857,32.7248184984976,-3190.33771841734,-3512.43978505446,0.811315420790756,0.692228342268138
"9",0.6,0.519141565429816,0.51912369242309,0.95,0.979,0.979,0.00829319469396841,0.00990790232548528,0.00990790232548528,0.0089043936079182,-0.00906740624890046,96.9043833910082,96.8355283398834,0.946,0.946,0.946,0.241,0.242,0.949,0.949,30.324199637927,32.4975441619681,5.29687741436606,32.50425347326,-3190.33771841734,-3485.51904512189,0.811182510235684,0.711436462550638
"10",0.7,0.53960127246397,0.539442902874447,0.943,0.968,0.968,0.00861287524791037,0.0105660013596745,0.0105660013596745,0.00937709061987675,-0.00969980825266721,200.247664216343,199.755734549446,0.941,0.94,0.94,0.256,0.257,0.946,0.946,31.4948166057621,34.1790079942795,5.460563026386,34.1847125039431,-3190.33771841734,-3497.69352150899,0.805288542424513,0.731072250449904
"11",0.75,0.550859391442647,0.550677678173151,0.937,0.961,0.965,0.00886593782832586,0.0107037446425755,0.0108689067331023,0.00934595103131579,-0.00997431578592345,257.286124688788,256.634419171721,0.935,0.931,0.943,0.268,0.27,0.938,0.943,32.3741522052021,34.0582685422325,5.50562014616421,35.3906035354192,-3190.33771841734,-3522.79313841007,0.802900398222816,0.741560091564108
"12",0.8,0.563201638701393,0.563020359385782,0.944,0.975,0.975,0.00930398604750511,0.0114369979420611,0.0116078103128145,0.00984653350129215,-0.0106265868209808,320.067395922857,319.380566395843,0.941,0.94,0.945,0.254,0.257,0.949,0.95,33.9925392521703,35.9283718918167,5.86807302634036,37.298620401222,-3190.33771841734,-3498.88363742993,0.79866217671573,0.752876913067417
"13",0.9,0.596507034136264,0.596142179304956,0.936,0.971,0.968,0.0110847587263841,0.0141657109842342,0.0139524231539661,0.0117511798474798,-0.0132077077224425,488.107159179827,487.06435381521,0.933,0.926,0.936,0.251,0.247,0.953,0.944,40.5311731923935,43.0262419221011,7.2888418761209,45.0333050925767,-3190.33771841734,-3495.2513090982,0.793556584902025,0.780896698582827
"14",0.95,0.623495258126153,0.622906460962895,0.929,0.967,0.962,0.013836372105731,0.0185345845041221,0.0179141611446264,0.0138994228303031,-0.0174676462772684,625.105262120545,623.221948677525,0.929,0.908,0.922,0.293,0.282,0.949,0.949,50.5976521416334,51.1378646104745,9.66985308019235,54.5028229304248,-3190.33771841734,-3469.4334847017,0.793492824232336,0.802099809331309
"15",0.975,0.647464261233157,0.646252132619443,0.927,0.976,0.973,0.0173531222626815,0.0243643193931393,0.0227329914282251,0.0161632918727871,-0.0231471562973656,746.128546357221,742.099518844644,0.916,0.885,0.909,0.311,0.287,0.959,0.948,63.1570570442382,59.853795764386,12.8656889180853,65.390085602384,-3190.33771841734,-3482.98036238332,0.794205898717247,0.819121440321068
