,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28
1,0.025,0.353892595,0.3555878,0.929,0.977,0.966,0.01728574,0.024235785,0.022407773,0.023128047,-0.016103237,-272.5307309,-272.3171752,0.946,0.966,0.95,0.924,0.91,0.932,0.914,12.80476556,17.98601172,13.14215642,16.28382312,8.342589068,-247.6690378,0.796101574,0.518154245
2,0.05,0.376800273,0.377529096,0.933,0.97,0.964,0.013760195,0.018424007,0.017831007,0.017294699,-0.013931461,-228.8618079,-228.8314759,0.948,0.967,0.958,0.921,0.917,0.924,0.921,9.932276335,12.65061702,9.411321459,12.06929021,8.342589068,-284.9938449,0.792327767,0.548586767
3,0.1,0.404154712,0.404639199,0.937,0.979,0.981,0.011129271,0.01428983,0.014105957,0.013289203,-0.011597507,-178.2358702,-178.1595803,0.956,0.969,0.961,0.904,0.904,0.914,0.908,8.003687037,10.362302,7.401279314,10.02705641,8.342589068,-257.291993,0.794994127,0.582694459
4,0.2,0.436918247,0.437122344,0.951,0.978,0.979,0.009293697,0.011521629,0.011690988,0.010678397,-0.009857788,-116.9050002,-116.8827108,0.942,0.951,0.954,0.89,0.895,0.896,0.899,6.695268149,8.103455293,5.98946767,8.12603717,8.342589068,-269.9884743,0.80037848,0.622469842
5,0.25,0.449511085,0.449723483,0.948,0.971,0.974,0.00891888,0.010746705,0.010901515,0.009963809,-0.009407528,-93.52680075,-93.49749799,0.955,0.952,0.954,0.894,0.898,0.898,0.9,6.340665501,7.331933477,5.533524699,7.348631189,8.342589068,-311.5028056,0.802589532,0.637032217
6,0.3,0.460862834,0.46088793,0.953,0.971,0.971,0.008552752,0.010415006,0.010415006,0.009656684,-0.009187933,-72.55818428,-72.58492703,0.959,0.959,0.96,0.897,0.897,0.901,0.902,6.099403211,7.228145001,5.439941952,7.241797402,8.342589068,-290.5841935,0.80559806,0.649837326
7,0.4,0.480927404,0.4811151,0.95,0.969,0.969,0.00819285,0.009869408,0.009869408,0.009015565,-0.008879589,-35.07773784,-35.02805501,0.952,0.956,0.957,0.902,0.903,0.904,0.906,5.836166539,7.04564591,5.272475878,7.070094498,8.342589068,-248.0916491,0.810829518,0.672185289
8,0.5,0.50003991,0.500010994,0.955,0.977,0.977,0.008138943,0.009886405,0.009886405,0.008976832,-0.008999098,0.352173453,0.342811078,0.951,0.95,0.95,0.877,0.878,0.883,0.884,5.785461606,6.507781282,5.100246382,6.513641206,8.342589068,-302.3528836,0.811368684,0.692228342
9,0.6,0.519141565,0.519123692,0.95,0.978,0.978,0.008293198,0.009901036,0.009901036,0.008896664,-0.009063975,35.65137402,35.63971259,0.944,0.947,0.949,0.896,0.897,0.902,0.903,5.873864803,7.237753937,5.458145304,7.259778324,8.342589068,-237.7060222,0.811458095,0.711436463
10,0.7,0.539601272,0.539442903,0.943,0.967,0.967,0.008612854,0.010561563,0.010561563,0.009375309,-0.009695038,73.52359233,73.53844535,0.943,0.95,0.952,0.895,0.897,0.901,0.903,6.160072921,6.966897987,5.462231057,6.984679204,8.342589068,-291.9785266,0.80540958,0.73107225
11,0.75,0.550859391,0.550677678,0.937,0.962,0.966,0.008865924,0.010712889,0.01087745,0.0093521,-0.009982625,94.53607207,94.46584902,0.951,0.957,0.96,0.912,0.91,0.913,0.915,6.313067052,6.998044794,5.55226,7.116716211,8.342589068,-308.4501954,0.802646508,0.741560092
12,0.8,0.563201639,0.563020359,0.944,0.975,0.975,0.00930399,0.011447629,0.011617329,0.009852866,-0.010637104,117.8221521,117.7154164,0.954,0.962,0.965,0.909,0.91,0.91,0.911,6.625404202,7.799580254,5.948987012,7.939141598,8.342589068,-275.447242,0.798447224,0.752876913
13,0.9,0.596507034,0.596142179,0.936,0.971,0.968,0.011084815,0.014164352,0.013958795,0.011753653,-0.013209189,179.2846499,179.40938,0.95,0.946,0.948,0.903,0.9,0.909,0.906,8.01055044,9.176653277,7.184031847,9.246563995,8.342589068,-316.7515839,0.793394366,0.780896699
14,0.95,0.623495299,0.622906461,0.929,0.967,0.962,0.013836379,0.018525801,0.017914163,0.01390267,-0.017454544,229.9207335,229.9212736,0.947,0.959,0.953,0.916,0.914,0.921,0.918,10.10490812,12.2572806,9.698583842,12.3291087,8.342589068,-264.6902696,0.793637819,0.802099809
15,0.975,0.647479197,0.646252133,0.927,0.976,0.972,0.017353018,0.024340601,0.022694039,0.016141179,-0.023124779,274.3039628,274.0926945,0.955,0.963,0.961,0.926,0.914,0.926,0.915,12.82753576,15.31998385,12.82607278,15.04232208,8.342589068,-300.2018615,0.794640033,0.81912144
