,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28
1,0.025,0.35387657,0.3555878,0.929,0.977,0.965,0.017285802,0.024228974,0.022397825,0.023112309,-0.016102172,-228.5914182,-228.9935151,0.945,0.957,0.947,0.95,0.943,0.986,0.984,10.96898884,15.76838189,13.0522105,14.56516687,307.3333253,62.70693832,0.796127469,0.518154245
2,0.05,0.376800273,0.377529096,0.933,0.969,0.963,0.01376022,0.018446968,0.017844792,0.017315903,-0.013947121,-191.9018897,-192.0902046,0.952,0.969,0.963,0.962,0.955,0.985,0.982,8.341189911,9.985002582,9.112381217,9.65263373,307.3333253,-20.54513597,0.79204219,0.548586767
3,0.1,0.404154712,0.404639199,0.937,0.979,0.981,0.011129287,0.014297575,0.014109403,0.013297569,-0.011604816,-149.4822839,-149.55134,0.962,0.971,0.965,0.969,0.963,0.989,0.991,6.674287287,8.646881008,7.344927315,8.432956814,307.3333253,28.1155051,0.794800436,0.582694459
4,0.2,0.436918247,0.437122344,0.951,0.978,0.979,0.009293731,0.011525832,0.011694217,0.010679028,-0.009864273,-97.98047447,-98.01941415,0.943,0.95,0.952,0.942,0.943,0.985,0.986,5.565468331,7.075223523,6.085819223,7.103399248,307.3333253,43.79616172,0.800202016,0.622469842
5,0.25,0.449511085,0.449723483,0.948,0.971,0.974,0.008918881,0.010750237,0.010904726,0.009966826,-0.009410359,-78.38012623,-78.41454291,0.95,0.958,0.959,0.954,0.955,0.987,0.988,5.247861668,6.087806965,5.495990826,6.104830977,307.3333253,-24.86434217,0.802454584,0.637032217
6,0.3,0.460862834,0.46088793,0.953,0.971,0.971,0.008552754,0.01041233,0.01041233,0.009653688,-0.009185444,-60.81703438,-60.85130601,0.958,0.963,0.966,0.956,0.958,0.988,0.988,5.05151513,6.053353327,5.423503331,6.069951697,307.3333253,8.72226968,0.805724648,0.649837326
7,0.4,0.480927404,0.4811151,0.95,0.969,0.969,0.008192839,0.009875302,0.009875302,0.009022327,-0.008884299,-29.35595905,-29.36258491,0.954,0.951,0.954,0.947,0.95,0.987,0.987,4.858046732,5.941354517,5.211901242,5.967524749,307.3333253,35.54136044,0.8106333,0.672185289
8,0.5,0.50003991,0.500010994,0.955,0.977,0.977,0.008138937,0.009884816,0.009884816,0.00897499,-0.00899766,0.340200307,0.339512972,0.951,0.95,0.951,0.945,0.945,0.986,0.986,4.794733581,5.440070929,5.101530039,5.447105843,307.3333253,-15.79502076,0.811409447,0.692228342
9,0.6,0.519141565,0.519123692,0.95,0.978,0.978,0.008293202,0.009907463,0.009907463,0.00890287,-0.009066316,29.90890439,29.90260486,0.94,0.95,0.95,0.945,0.947,0.987,0.987,4.859328739,6.353390925,5.476946308,6.379819112,307.3333253,69.43077985,0.811309037,0.711436463
10,0.7,0.539601272,0.539442903,0.943,0.968,0.968,0.008612876,0.010565168,0.010565168,0.009378286,-0.009698614,61.64321059,61.70557449,0.952,0.957,0.957,0.956,0.956,0.984,0.984,5.114776084,6.120421566,5.508238059,6.14157491,307.3333253,17.4647124,0.805301258,0.73107225
11,0.75,0.550859391,0.550677678,0.937,0.962,0.966,0.00886594,0.010710556,0.010875365,0.00935016,-0.009980819,79.27825464,79.26254557,0.955,0.956,0.957,0.952,0.953,0.984,0.986,5.25625826,5.954862483,5.543456342,6.008585517,307.3333253,-7.705864206,0.802686278,0.741560092
12,0.8,0.563201639,0.563020359,0.944,0.975,0.975,0.009303981,0.011439608,0.011610526,0.009849731,-0.010629442,98.86166047,98.80930855,0.952,0.959,0.96,0.955,0.958,0.986,0.986,5.505498469,6.690973494,5.957628415,6.761255682,307.3333253,32.13508516,0.798638023,0.752876913
13,0.9,0.596507034,0.596142179,0.936,0.971,0.968,0.011084797,0.014170689,0.013964744,0.011758511,-0.013216238,150.3325397,150.5667262,0.946,0.956,0.956,0.95,0.949,0.987,0.986,6.68380991,7.976843708,7.194002826,7.911798792,307.3333253,-19.83053272,0.793230057,0.780896699
14,0.95,0.62349524,0.622906461,0.929,0.966,0.962,0.013836322,0.018532548,0.01791868,0.013902715,-0.017463692,192.8719601,193.0493353,0.957,0.964,0.963,0.962,0.959,0.989,0.986,8.443040178,10.57098418,9.559173057,10.4876829,307.3333253,22.72738968,0.7934151,0.802099809
15,0.975,0.647409838,0.646252133,0.928,0.976,0.972,0.017353102,0.024383292,0.02272126,0.016159202,-0.023167454,230.3081445,230.2170547,0.958,0.967,0.963,0.962,0.958,0.988,0.983,10.89830653,14.32704336,12.95198042,13.74569209,307.3333253,26.26525789,0.794253582,0.81912144
