"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0.025,-0.964367747910082,-0.95801591923882,0.95,0.954,0.955,0.144191046565705,0.168708360691982,0.156266319252418,0.159754007347921,-0.111259160995789,-88.843911350012,-89.4069349412714,0.956,0.968,0.942,0.67,0.638,0.992,0.991,28.5218548589692,35.5567078547639,13.2390554594544,31.0957876505399,179.714735864243,99.0307881303784,0.284556393209891,0.147994081927842,9.98114270183723,9.989025425734,10.0112652411979,10.0321938979883,0.963,0.977,0.972,2.24754617888559,3.0357498745819,2.81168381684093,2.87467659388155,-2.0018711505375
"2",0.05,-0.735671207453219,-0.729852680299563,0.955,0.963,0.961,0.110992004585179,0.127915465417939,0.123768128886893,0.120209655634422,-0.0953696792583585,-72.7535878178917,-73.4746806275985,0.958,0.973,0.955,0.616,0.603,0.993,0.993,21.798712439508,26.5380184938932,9.54905064787955,24.428025211822,179.714735864243,98.356546964692,0.284377607751209,0.115278996820112,9.98114270183723,9.9871254705498,9.96282220267383,9.96859857756611,0.952,0.984,0.979,1.71145638276183,2.3020002188818,2.22738616522277,2.16331717728801,-1.71631569852245
"3",0.1,-0.463540021427121,-0.460231314156473,0.964,0.968,0.969,0.0902791374059303,0.100991314171029,0.0990576808237868,0.0945960349360747,-0.0818560960524922,-56.2785467790477,-56.4995982116467,0.954,0.978,0.973,0.622,0.616,0.999,0.998,17.1258631957265,20.7977906238123,7.39114555729722,19.6486348359231,179.714735864243,98.0897853784449,0.288349168009884,0.0811407475115747,9.98114270183723,9.98635655508377,9.94009210789314,9.93227094454001,0.953,0.994,0.993,1.35855847231904,1.81753521844188,1.78284256794635,1.70234318579804,-1.47328640961176
"4",0.2,-0.130371881654193,-0.129299165943424,0.947,0.969,0.969,0.0750953302243923,0.0820280088222088,0.0820280088222088,0.0761961661160813,-0.0705599258650242,-37.2113675005472,-37.3619214584559,0.956,0.975,0.975,0.611,0.604,0.998,0.998,14.1805350861092,16.772432456553,6.04843574278997,16.7509286315783,179.714735864243,98.0200460779108,0.302803692490332,0.0605247318132287,9.98114270183723,9.98412347016856,9.97952926394033,9.98484378918608,0.952,0.984,0.984,1.12750156943907,1.47616529547563,1.47616529547563,1.37117620599041,-1.26978907909377
"5",0.25,-0.00363923595382397,-0.00290826916475598,0.952,0.963,0.963,0.0704971351513177,0.0766130014495964,0.0766130014495964,0.0704219199982491,-0.0670869594595331,-29.6786966513519,-29.6354808487847,0.951,0.976,0.976,0.601,0.596,0.994,0.993,13.4555034204561,15.5501973420005,5.70704022917315,15.5271767968073,179.714735864243,98.2077324474044,0.310193593052825,0.0603890584129948,9.98114270183723,9.98690435919445,9.96509889783156,9.95134015922558,0.952,0.981,0.981,1.07166298658499,1.37882746001644,1.37882746001644,1.26726660029677,-1.20744597545836
"6",0.3,0.108300388476877,0.108782707116254,0.954,0.964,0.964,0.0682837643372162,0.0751618604510363,0.0751618604510363,0.0695583883870949,-0.0657890576756287,-22.8207069374433,-22.9624086216214,0.941,0.963,0.963,0.59,0.588,0.991,0.991,12.9164372674565,15.3062080885559,5.50092088137891,15.3148891162035,179.714735864243,98.0625444502942,0.316687255547334,0.0637453375611777,9.98114270183723,9.98655204704963,9.96223138011556,9.97391960775727,0.935,0.982,0.982,1.02888929332804,1.35268226078035,1.35268226078035,1.25210671515088,-1.18402862382927
"7",0.4,0.310318261144179,0.310351532871647,0.953,0.969,0.968,0.065354818335759,0.0709778672835028,0.0698401267923906,0.0649603873781824,-0.0642278380487701,-10.9483210708824,-10.8733983604265,0.94,0.96,0.953,0.587,0.581,0.991,0.99,12.4254742525469,14.3164687737933,5.19795989825047,13.8812580442536,179.714735864243,98.2088823308609,0.325669030032149,0.0770498526198138,9.98114270183723,9.98753555834759,9.98253631619465,9.97531801030353,0.944,0.98,0.979,0.990601706950981,1.27739203505125,1.25691127184181,1.16907724654472,-1.15581286236029
"8",0.5,0.501462959723255,0.501780694805474,0.955,0.973,0.969,0.0648636222359943,0.0713501781934675,0.0692171271584474,0.0645571977430316,-0.0650180881711403,0.378274996843368,0.231394716495944,0.943,0.972,0.96,0.592,0.585,0.992,0.991,12.2652340920219,14.226397865118,5.17137880130432,13.7822290477816,179.714735864243,98.1014996384829,0.328850882988005,0.0971457660504328,9.98114270183723,9.98698819320649,9.98185842442766,9.9844842686979,0.944,0.982,0.98,0.97841647396285,1.28411252973205,1.24571828408929,1.16172011772083,-1.17021289685306
"9",0.6,0.693869880176815,0.693458295072361,0.947,0.961,0.959,0.0658932311683293,0.0717468345746617,0.070530921878737,0.064551610904658,-0.0657987316244263,11.2787433499441,11.294229776268,0.946,0.972,0.972,0.581,0.575,0.994,0.993,12.4087318727849,14.2473361949988,5.22660820123126,14.22493875276,179.714735864243,97.8816388005763,0.325753257296264,0.123361250054026,9.98114270183723,9.98957515981514,9.99525214014568,9.99773180140937,0.95,0.987,0.986,0.995333357071915,1.29137706027349,1.26947506669992,1.16187840482571,-1.18425748223515
"10",0.7,0.897647896381077,0.896298447640333,0.946,0.963,0.963,0.0684654878860111,0.0756693164557258,0.0756693164557258,0.0662142438231448,-0.0700322294398811,23.0703499529376,23.1824501552506,0.938,0.958,0.957,0.591,0.596,0.997,0.996,13.0052789868755,14.685824266151,5.51094816596663,14.6927574308761,179.714735864243,98.046315778261,0.31582618575402,0.155797429632765,9.98114270183723,9.98923727005254,10.0322714608126,10.0313535961086,0.957,0.993,0.993,1.0414323299957,1.36199596061303,1.36199596061303,1.19171533242349,-1.26068322282602
