"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0.025,-0.964091021126929,-0.95801591923882,0.95,0.954,0.955,0.144190963712274,0.168703687257534,0.156262006998809,0.159749206538511,-0.111256669362695,-91.3858780111529,-88.7630569815057,0.932,0.964,0.941,0.643,0.612,0.992,0.989,28.2913081981795,35.6299296401022,13.2390554594544,31.1523853859894,179.714735864243,99.0307881303784,0.284597291989225,0.147994081927842,-9.99833870547824,-10.010974574266,10.011508398533,10.0321938979883,0.963,0.977,0.972,2.24754495204953,3.03566644583636,2.81160715664171,2.87459068528195,-2.00182716805344
"2",0.05,-0.73567120745322,-0.729852680299563,0.955,0.963,0.961,0.110992302995944,0.127915465417939,0.123768128886893,0.120209655634422,-0.0953696792583586,-73.4971437644149,-74.1027090762764,0.953,0.965,0.955,0.636,0.612,0.992,0.992,21.4801283781107,26.5699789300392,9.54905064787954,24.4555199044251,179.714735864243,98.356546964692,0.284377607751209,0.115278996820112,-9.99833870547824,-10.0128745294502,9.96282220267383,9.96859857756611,0.952,0.984,0.979,1.71145270003968,2.3020002188818,2.22738616522277,2.16331717728801,-1.71631569852245
"3",0.1,-0.463540021427121,-0.460231314156473,0.964,0.968,0.969,0.090279327826084,0.100991314171029,0.0990576808237868,0.0945960349360747,-0.0818560960524921,-57.4767046211848,-57.8541793208465,0.948,0.98,0.972,0.611,0.605,0.996,0.996,17.1135919063516,20.8387151708121,7.39114555729722,19.6866662157665,179.714735864243,98.0897853784449,0.288349168009884,0.0811407475115747,-9.99833870547824,-10.0136434449162,9.94009210789314,9.93227094454001,0.953,0.994,0.993,1.35855768819165,1.81753521844188,1.78284256794635,1.70234318579805,-1.47328640961176
"4",0.2,-0.130371881654193,-0.129299165943424,0.947,0.969,0.969,0.0750953039095424,0.0820280088222088,0.0820280088222088,0.0761961661160813,-0.0705599258650242,-37.6207822217407,-37.6650456747343,0.964,0.977,0.977,0.615,0.608,0.994,0.994,14.190108505372,16.8104860139712,6.04843574278997,16.7890371601111,179.714735864243,98.0200460779108,0.302803692490332,0.0605247318132287,-9.99833870547824,-10.0158765298314,9.97952926394033,9.98484378918608,0.952,0.984,0.984,1.12749986569467,1.47616529547563,1.47616529547563,1.37117620599041,-1.26978907909377
"5",0.25,-0.00363923595382401,-0.00290826916475599,0.952,0.963,0.963,0.0704971962434098,0.0766130014495964,0.0766130014495964,0.0704219199982491,-0.0670869594595331,-30.3767186947207,-30.6086776642731,0.948,0.965,0.965,0.627,0.618,0.996,0.996,13.4567849071258,15.5853365803783,5.70704022917315,15.5622358514089,179.714735864243,98.2077324474044,0.310193593052825,0.0603890584129948,-9.99833870547824,-10.0130956408056,9.96509889783157,9.95134015922558,0.952,0.981,0.981,1.07166339809205,1.37882746001644,1.37882746001644,1.26726660029677,-1.20744597545836
"6",0.3,0.108300388476877,0.108782707116254,0.954,0.964,0.964,0.0682838841199036,0.0751618604510363,0.0751618604510363,0.0695583883870949,-0.0657890576756287,-23.5760793351323,-23.4840164664759,0.952,0.974,0.974,0.588,0.593,0.993,0.993,12.9850896488194,15.3428839810953,5.5009208813789,15.3515704524476,179.714735864243,98.0625444502942,0.316687255547334,0.0637453375611777,-9.99833870547824,-10.0134479529504,9.96223138011555,9.97391960775727,0.935,0.982,0.982,1.02888823903795,1.35268226078035,1.35268226078035,1.25210671515088,-1.18402862382927
"7",0.4,0.310318261144179,0.310351532871647,0.953,0.969,0.968,0.0653548404607173,0.0709778672835028,0.0698401267923906,0.0649603873781824,-0.0642278380487701,-11.2975947469894,-11.367038154356,0.946,0.971,0.967,0.612,0.607,0.995,0.995,12.4332558962572,14.3494395805572,5.19795989825047,13.9136772531461,179.714735864243,98.2088823308609,0.325669030032149,0.0770498526198138,-9.99833870547824,-10.0124644416524,9.98253631619465,9.97531801030353,0.944,0.98,0.979,0.990601966128121,1.27739203505125,1.25691127184181,1.16907724654472,-1.15581286236029
"8",0.5,0.501462959723255,0.501780694805474,0.955,0.973,0.969,0.0648636307495065,0.0713501781934675,0.0692171271584474,0.0645571977430317,-0.0650180881711403,0.0154434853964968,-0.0789199095461138,0.944,0.966,0.961,0.604,0.598,0.997,0.994,12.3128928934686,14.2662174884338,5.17137880130432,13.8199649770308,179.714735864243,98.1014996384829,0.328850882988005,0.0971457660504328,-9.99833870547824,-10.0130118067935,9.98185842442766,9.9844842686979,0.944,0.982,0.98,0.978416700144829,1.28411252973205,1.24571828408929,1.16172011772083,-1.17021289685306
"9",0.6,0.693869880176807,0.693458295072361,0.947,0.961,0.959,0.0658931180936483,0.0717468345746618,0.070530921878737,0.0645516109046581,-0.0657987316244263,11.1837861528582,11.2488658044554,0.951,0.973,0.973,0.603,0.597,0.997,0.997,12.5881759493384,14.2739372187498,5.22660820123126,14.251703106982,179.714735864243,97.8816388005763,0.325753257296264,0.123361250054026,-9.99833870547824,-10.0104248401849,9.99525214014549,9.99773180140937,0.95,0.987,0.986,0.995335037671914,1.29137706027349,1.26947506669992,1.16187840482571,-1.18425748223515
"10",0.7,0.897647896381077,0.896298447640333,0.946,0.963,0.963,0.0684654728236489,0.0756693164557258,0.0756693164557258,0.0662142438231449,-0.0700322294398811,23.7157791691895,23.809522077423,0.953,0.973,0.973,0.606,0.607,0.999,0.999,13.1398977082738,14.7077036334741,5.51094816596663,14.7147038954766,179.714735864243,98.046315778261,0.315826185754019,0.155797429632765,-9.99833870547824,-10.0107627299475,10.0322714608126,10.0313535961086,0.957,0.993,0.993,1.04143125215999,1.36199596061303,1.36199596061303,1.19171533242349,-1.26068322282602
