"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0.025,-0.966435900157538,-0.95801591923882,0.95,0.953,0.955,0.144191064023234,0.168692849283016,0.156251541068072,0.159738870185127,-0.111248990812632,-352.05254539868,-351.527861424376,0.945,0.939,0.919,0.836,0.817,0.839,0.819,17.4907309241775,18.8197124568898,13.2390554594544,17.041272386334,-0.0969533971231431,-80.9692118696216,0.284704941644037,0.147994081927842,-0.00843654845841229,-0.0109745742660016,10.0074826690704,10.0321938979883,0.964,0.977,0.972,2.24754672298306,3.03547042307373,2.81141768508461,2.87440401078219,-2.00168786831101
"2",0.05,-0.73567120745322,-0.729852680299563,0.955,0.963,0.961,0.110992376616301,0.127915465417939,0.123768128886893,0.120209655634422,-0.0953696792583585,-295.546183132733,-295.162177305859,0.949,0.958,0.947,0.831,0.825,0.835,0.826,13.370010787438,13.8585345063931,9.54905064787955,13.1075601174239,-0.0969533971231431,-81.643453035308,0.284377607751209,0.115278996820112,-0.00843654845841229,-0.0128745294502005,9.96282220267382,9.96859857756611,0.952,0.984,0.979,1.71145411782558,2.3020002188818,2.22738616522277,2.16331717728801,-1.71631569852245
"3",0.1,-0.463540021427121,-0.460231314156473,0.964,0.968,0.969,0.0902792014919287,0.100991314171029,0.0990576808237868,0.0945960349360747,-0.0818560960524922,-230.314829556998,-230.018525314412,0.96,0.95,0.942,0.827,0.819,0.831,0.823,10.9165871184067,10.8230233636234,7.39114555729721,10.3985166555025,-0.0969533971231431,-81.9102146215551,0.288349168009884,0.0811407475115747,-0.00843654845841229,-0.0136434449162334,9.94009210789315,9.93227094454001,0.953,0.994,0.993,1.35855366487423,1.81753521844188,1.78284256794635,1.70234318579804,-1.47328640961176
"4",0.2,-0.130371881654193,-0.129299165943424,0.947,0.969,0.969,0.0750952896630982,0.0820280088222088,0.0820280088222088,0.0761961661160813,-0.0705599258650242,-150.883013558899,-150.787333436411,0.943,0.937,0.935,0.8,0.794,0.804,0.798,9.14322835506797,8.77566287802806,6.04843574278997,8.73418877428327,-0.0969533971231431,-81.9799539220892,0.302803692490332,0.0605247318132287,-0.00843654845841229,-0.0158765298314393,9.97952926394032,9.98484378918608,0.952,0.984,0.984,1.12749966807591,1.47616529547563,1.47616529547563,1.37117620599041,-1.26978907909377
"5",0.25,-0.0036392359538244,-0.002908269164756,0.952,0.963,0.963,0.0704971419203787,0.0766130014495964,0.0766130014495964,0.0704219199982491,-0.0670869594595331,-120.682770144725,-120.645567706185,0.945,0.932,0.931,0.802,0.79,0.804,0.794,8.59590895192226,8.19099781285323,5.70704022917315,8.14600197002649,-0.0969533971231431,-81.7922675525956,0.310193593052825,0.0603890584129948,-0.00843654845841229,-0.0130956408055499,9.96509889783158,9.95134015922558,0.952,0.981,0.981,1.07166359184281,1.37882746001644,1.37882746001644,1.26726660029677,-1.20744597545836
"6",0.3,0.108300388476877,0.108782707116254,0.954,0.964,0.964,0.0682838260822723,0.0751618604510363,0.0751618604510363,0.0695583883870949,-0.0657890576756287,-93.7043232104499,-93.642325263123,0.957,0.941,0.942,0.803,0.805,0.805,0.808,8.30732152283351,7.99311086148053,5.50092088137891,8.00764524142732,-0.0969533971231431,-81.9374555497058,0.316687255547334,0.0637453375611777,-0.00843654845841229,-0.0134479529503733,9.96223138011555,9.97391960775727,0.935,0.982,0.982,1.02888865641325,1.35268226078035,1.35268226078035,1.25210671515088,-1.18402862382927
"7",0.4,0.310318261144179,0.310351532871647,0.953,0.969,0.968,0.0653548521754262,0.0709778672835028,0.0698401267923906,0.0649603873781824,-0.0642278380487701,-45.2656709029836,-45.2569423404948,0.952,0.937,0.929,0.793,0.79,0.795,0.791,7.96166557123669,7.49518597898751,5.19795989825047,7.3322200095346,-0.0969533971231431,-81.7911176691391,0.325669030032149,0.0770498526198138,-0.00843654845841229,-0.0124644416524097,9.98253631619465,9.97531801030353,0.944,0.98,0.979,0.99060055465564,1.27739203505125,1.25691127184181,1.16907724654472,-1.15581286236029
"8",0.5,0.501462959723255,0.501780694805474,0.955,0.973,0.969,0.0648636173603658,0.0713501781934675,0.0692171271584474,0.0645571977430317,-0.0650180881711403,0.460191991305731,0.396762468460311,0.946,0.93,0.927,0.791,0.785,0.793,0.787,7.88245950599079,7.45457059826839,5.17137880130432,7.27405016066965,-0.0969533971231431,-81.8985003615171,0.328850882988005,0.0971457660504328,-0.00843654845841229,-0.0130118067935109,9.98185842442766,9.9844842686979,0.944,0.982,0.98,0.978415913892721,1.28411252973205,1.24571828408929,1.16172011772083,-1.17021289685306
"9",0.6,0.693869880176815,0.693458295072361,0.947,0.961,0.959,0.0658933026609926,0.0717468345746618,0.070530921878737,0.0645516109046581,-0.0657987316244263,46.1278431832276,46.0940409033866,0.944,0.922,0.92,0.779,0.774,0.782,0.778,8.01274417254477,7.51277801201488,5.22660820123126,7.47167870245446,-0.0969533971231431,-82.1183611994237,0.325753257296264,0.123361250054026,-0.00843654845841229,-0.0104248401848599,9.99525214014569,9.99773180140937,0.95,0.987,0.986,0.995334393657495,1.29137706027349,1.26947506669992,1.16187840482571,-1.18425748223515
"10",0.7,0.897647896381077,0.896298447640333,0.946,0.963,0.963,0.0684654613610862,0.0756693164557258,0.0756693164557258,0.0662142438231448,-0.0700322294398811,94.9696859096574,94.8297066915967,0.946,0.932,0.932,0.795,0.795,0.796,0.797,8.3187050543301,7.80464982635774,5.51094816596663,7.82012509598256,-0.0969533971231431,-81.953684221739,0.31582618575402,0.155797429632765,-0.00843654845841229,-0.0107627299474552,10.0322714608126,10.0313535961086,0.957,0.993,0.993,1.04143182972102,1.36199596061303,1.36199596061303,1.19171533242349,-1.26068322282602
