"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0.025,-0.967225277599241,-0.95801591923882,0.949,0.953,0.955,0.144191292456257,0.168680921412219,0.156240400411332,0.159728371455654,-0.111240375127698,-618.078237522664,-613.970726887364,0.938,0.933,0.893,0.493,0.472,0.876,0.851,40.3289215238467,43.9548292217257,13.2390554594544,38.2389494274434,-179.928778424598,-260.969211869622,0.284806100023443,0.147994081927842,-0.00843654845841229,-0.0109745742660016,10.0356835257716,10.0321938979883,0.963,0.976,0.972,2.2475321244519,3.03525940316572,2.81122044880563,2.87421832215576,-2.0015355466186
"2",0.05,-0.735671207453219,-0.729852680299563,0.955,0.963,0.961,0.11099263184894,0.127915465417939,0.123768128886893,0.120209655634423,-0.0953696792583584,-517.967000474312,-516.53565975978,0.949,0.939,0.922,0.451,0.44,0.868,0.87,31.1310218659443,32.9637087063452,9.54905064787955,30.2314267245869,-179.928778424598,-261.643453035308,0.284377607751209,0.115278996820112,-0.00843654845841229,-0.0128745294502005,9.96282220267384,9.9685985775661,0.952,0.984,0.979,1.71145803823346,2.3020002188818,2.22738616522277,2.16331717728801,-1.71631569852244
"3",0.1,-0.463540021427121,-0.460231314156473,0.964,0.968,0.969,0.0902793118518328,0.100991314171029,0.0990576808237867,0.0945960349360747,-0.0818560960524922,-403.75203341388,-402.860161862577,0.955,0.945,0.932,0.436,0.426,0.878,0.88,25.5463117614535,25.9142716099964,7.39114555729722,24.4246141219983,-179.928778424598,-261.910214621555,0.288349168009884,0.0811407475115747,-0.00843654845841229,-0.0136434449162334,9.94009210789315,9.93227094454001,0.953,0.994,0.993,1.35856024958807,1.81753521844188,1.78284256794635,1.70234318579804,-1.47328640961176
"4",0.2,-0.130371881654193,-0.129299165943424,0.947,0.969,0.969,0.075095268872978,0.0820280088222088,0.0820280088222088,0.0761961661160813,-0.0705599258650241,-264.349952256653,-264.061183306228,0.948,0.93,0.93,0.408,0.406,0.861,0.861,21.3472554465482,20.8965700883447,6.04843574278997,20.87903439543,-179.928778424598,-261.979953922089,0.302803692490332,0.0605247318132287,-0.00843654845841229,-0.0158765298314393,9.97952926394033,9.98484378918608,0.952,0.984,0.984,1.12750236065629,1.47616529547563,1.47616529547563,1.37117620599041,-1.26978907909376
"5",0.25,-0.00363923595382431,-0.00290826916475599,0.952,0.963,0.963,0.0704970792426569,0.0766130014495964,0.0766130014495964,0.0704219199982491,-0.0670869594595331,-211.337832616413,-211.169056155841,0.949,0.924,0.923,0.422,0.419,0.842,0.842,20.0390773680858,19.3432587035269,5.70704022917315,19.3245931278898,-179.928778424598,-261.792267552596,0.310193593052825,0.0603890584129948,-0.00843654845841229,-0.0130956408055499,9.96509889783156,9.95134015922558,0.952,0.981,0.981,1.0716637617501,1.37882746001644,1.37882746001644,1.26726660029677,-1.20744597545836
"6",0.3,0.108300388476877,0.108782707116254,0.954,0.964,0.964,0.0682838185845253,0.0751618604510363,0.0751618604510363,0.0695583883870949,-0.0657890576756287,-164.210253284612,-164.061437982197,0.952,0.941,0.94,0.432,0.431,0.85,0.851,19.4000433058595,19.0691550190353,5.5009208813789,19.076317513667,-179.928778424598,-261.937455549706,0.316687255547334,0.0637453375611777,-0.00843654845841229,-0.0134479529503733,9.96223138011557,9.97391960775727,0.935,0.982,0.982,1.02888743215603,1.35268226078035,1.35268226078035,1.25210671515088,-1.18402862382927
"7",0.4,0.310318261144179,0.310351532871647,0.953,0.969,0.968,0.0653548603357316,0.0709778672835028,0.0698401267923906,0.0649603873781824,-0.0642278380487701,-79.4083838970316,-79.3936664235984,0.954,0.94,0.929,0.435,0.43,0.85,0.845,18.5842568117688,17.8158482662251,5.19795989825047,17.2536860713437,-179.928778424598,-261.791117669139,0.325669030032149,0.0770498526198138,-0.00843654845841229,-0.0124644416524097,9.98253631619465,9.97531801030353,0.944,0.98,0.979,0.990601047899198,1.27739203505125,1.25691127184181,1.16907724654472,-1.15581286236029
"8",0.5,0.501462959723255,0.501780694805474,0.955,0.973,0.969,0.064863648537016,0.0713501781934675,0.0692171271584474,0.0645571977430316,-0.0650180881711403,0.723524741491566,0.717287533445707,0.96,0.94,0.932,0.428,0.418,0.857,0.845,18.4386671131649,17.7071646555607,5.17137880130432,17.1360963806486,-179.928778424598,-261.898500361517,0.328850882988005,0.0971457660504328,-0.00843654845841229,-0.0130118067935109,9.98185842442766,9.9844842686979,0.944,0.982,0.98,0.978415483903624,1.28411252973205,1.24571828408929,1.16172011772083,-1.17021289685306
"9",0.6,0.693869880176839,0.693458295072361,0.947,0.961,0.959,0.0658933349798743,0.0717468345746617,0.0705309218787369,0.0645516109046581,-0.0657987316244263,81.0244216150565,80.9165340164115,0.945,0.927,0.926,0.425,0.422,0.856,0.846,18.7361391940018,17.7469168426227,5.22660820123126,17.7287975349394,-179.928778424598,-262.118361199424,0.325753257296264,0.123361250054026,-0.00843654845841229,-0.0104248401848599,9.99525214014622,9.99773180140937,0.95,0.987,0.986,0.995333146342002,1.29137706027349,1.26947506669992,1.16187840482571,-1.18425748223515
"10",0.7,0.897647896381077,0.896298447640333,0.946,0.963,0.963,0.0684654429243621,0.0756693164557258,0.0756693164557258,0.0662142438231448,-0.0700322294398811,166.546307258251,166.163427266857,0.942,0.929,0.929,0.413,0.414,0.85,0.849,19.4339841710803,18.2381391428617,5.51094816596663,18.2436998675485,-179.928778424598,-261.953684221739,0.315826185754019,0.155797429632765,-0.00843654845841229,-0.0107627299474552,10.0322714608126,10.0313535961086,0.957,0.993,0.993,1.04143195760077,1.36199596061303,1.36199596061303,1.19171533242349,-1.26068322282602
