"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"1",0.025,-0.965554540170979,-0.95801591923882,0.951,0.954,0.955,0.144191016840143,0.16867537673258,0.156235112255572,0.159723437638788,-0.111235927706766,-615.874773859692,-613.648787907481,0.934,0.937,0.916,0.45,0.423,0.926,0.91,46.2680258479513,52.5497542499396,13.2390554594544,45.5691798148577,-179.928778424598,-260.969211869622,0.284853642655411,0.147994081927842,-9.99833870547824,-10.010974574266,10.017452454536,10.0321938979883,0.963,0.976,0.972,2.24754279342159,3.03515707264291,2.81112297009552,2.87412725259542,-2.00145361934815
"2",0.05,-0.735671207453217,-0.729852680299563,0.955,0.963,0.961,0.110992385561003,0.127915465417939,0.123768128886893,0.120209655634422,-0.0953696792583586,-518.338778447574,-516.849673984119,0.942,0.952,0.927,0.402,0.397,0.922,0.912,35.6103762373324,39.4437441600186,9.54905064787954,36.0908332253572,-179.928778424598,-261.643453035308,0.284377607751209,0.115278996820112,-9.99833870547824,-10.0128745294502,9.96282220267383,9.96859857756611,0.952,0.984,0.979,1.71145462832372,2.30200021888179,2.22738616522277,2.16331717728801,-1.71631569852245
"3",0.1,-0.463540021427121,-0.460231314156473,0.964,0.968,0.969,0.0902792250364439,0.100991314171029,0.0990576808237867,0.0945960349360746,-0.0818560960524922,-404.351112334948,-403.537452417177,0.943,0.952,0.941,0.389,0.386,0.927,0.923,28.8407560874779,31.021671999604,7.39114555729722,29.1996721777615,-179.928778424598,-261.910214621555,0.288349168009884,0.0811407475115747,-9.99833870547824,-10.0136434449162,9.94009210789314,9.93227094454001,0.953,0.994,0.993,1.35855966953829,1.81753521844188,1.78284256794635,1.70234318579804,-1.47328640961176
"4",0.2,-0.130371881654192,-0.129299165943424,0.947,0.969,0.969,0.0750953901663663,0.0820280088222088,0.0820280088222088,0.0761961661160813,-0.0705599258650242,-264.55465961725,-264.212745414367,0.96,0.957,0.956,0.372,0.372,0.92,0.92,24.1359455586407,25.0079553620778,6.04843574278997,24.9933329578125,-179.928778424598,-261.979953922089,0.302803692490332,0.0605247318132287,-9.99833870547824,-10.0158765298314,9.97952926394033,9.98484378918608,0.952,0.984,0.984,1.12749962822073,1.47616529547563,1.47616529547563,1.37117620599041,-1.26978907909376
"5",0.25,-0.0036392359538243,-0.00290826916475597,0.952,0.963,0.963,0.0704971001629669,0.0766130014495964,0.0766130014495964,0.0704219199982491,-0.0670869594595331,-211.686843638097,-211.655654563585,0.959,0.951,0.951,0.386,0.386,0.92,0.92,22.7335623610457,23.13762483558,5.70704022917315,23.1220342736418,-179.928778424598,-261.792267552596,0.310193593052825,0.0603890584129948,-9.99833870547824,-10.0130956408056,9.96509889783156,9.95134015922558,0.952,0.981,0.981,1.07166245529207,1.37882746001644,1.37882746001644,1.26726660029676,-1.20744597545836
"6",0.3,0.108300388476876,0.108782707116254,0.954,0.964,0.964,0.0682837540444215,0.0751618604510363,0.0751618604510363,0.0695583883870949,-0.0657890576756287,-164.587939483457,-164.322241904625,0.955,0.958,0.958,0.374,0.375,0.919,0.918,21.9597322482907,22.825879764525,5.5009208813789,22.8319420488961,-179.928778424598,-261.937455549706,0.316687255547334,0.0637453375611777,-9.99833870547824,-10.0134479529504,9.96223138011559,9.97391960775727,0.935,0.982,0.982,1.02888719354639,1.35268226078035,1.35268226078035,1.25210671515088,-1.18402862382927
"7",0.4,0.310318261144179,0.310351532871647,0.953,0.969,0.968,0.0653548376171579,0.0709778672835028,0.0698401267923906,0.0649603873781824,-0.0642278380487701,-79.583020735085,-79.6404863205631,0.951,0.95,0.947,0.376,0.37,0.929,0.926,21.0691135089828,21.3209671874882,5.19795989825047,20.6343307663206,-179.928778424598,-261.791117669139,0.325669030032149,0.0770498526198138,-9.99833870547824,-10.0124644416524,9.98253631619465,9.97531801030353,0.944,0.98,0.979,0.990600573585295,1.27739203505125,1.25691127184181,1.16907724654472,-1.15581286236029
"8",0.5,0.501462959723254,0.501780694805474,0.955,0.973,0.969,0.0648635463213053,0.0713501781934675,0.0692171271584474,0.0645571977430317,-0.0650180881711403,0.542108985768141,0.562130220424677,0.948,0.947,0.941,0.395,0.39,0.928,0.92,20.8045752700566,21.1913961845435,5.17137880130432,20.4965236424562,-179.928778424598,-261.898500361517,0.328850882988005,0.0971457660504328,-9.99833870547824,-10.0130118067935,9.98185842442766,9.9844842686979,0.944,0.982,0.98,0.97841673623315,1.28411252973205,1.24571828408929,1.16172011772083,-1.17021289685306
"9",0.6,0.693869880176834,0.693458295072361,0.947,0.961,0.959,0.0658932619737068,0.0717468345746617,0.0705309218787369,0.064551610904658,-0.0657987316244263,80.9769430165173,80.8938520305052,0.949,0.936,0.936,0.349,0.345,0.926,0.92,21.1855376935802,21.2214115326818,5.22660820123126,21.2062356577274,-179.928778424598,-262.118361199424,0.325753257296264,0.123361250054026,-9.99833870547824,-10.0104248401849,9.99525214014612,9.99773180140937,0.95,0.987,0.986,0.995332847240809,1.29137706027349,1.26947506669992,1.16187840482571,-1.18425748223515
"10",0.7,0.897647896381077,0.896298447640333,0.946,0.963,0.963,0.0684654853435872,0.0756693164557257,0.0756693164557257,0.0662142438231448,-0.0700322294398811,166.869021866377,166.476963227943,0.937,0.937,0.937,0.378,0.383,0.913,0.913,22.0458559137313,21.7950961425345,5.51094816596663,21.7996872225454,-179.928778424598,-261.953684221739,0.31582618575402,0.155797429632765,-9.99833870547824,-10.0107627299475,10.0322714608126,10.0313535961086,0.957,0.993,0.993,1.04143133412289,1.36199596061303,1.36199596061303,1.19171533242349,-1.26068322282602
