"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.025,0.352837787705678,0.368378869048144,0.849,0.8515,0.878,0.0471595443242165,0.0682527278624746,0.071985662783423,0.0600548543541851,-0.0293450311593568,-8.66813490938524,-33.5416576117901,0.925,0.807,0.8185,0.502,0.5245,0.9025,0.9205,83.2728574335454,118.744317600853,34.7988884316967,119.608393057166,1801.81737337892,1689.29333732985,0.857463419917148,0.543042175372065
"2",0.05,0.377176269776572,0.385433887911715,0.8915,0.967,0.9145,0.0426016962142425,0.102966947953876,0.0572451154970805,0.101887784815002,-0.0309793065389434,-8.00966389097908,-23.1901781476575,0.9435,0.969,0.9135,0.7185,0.7135,0.9775,0.9575,71.9492893673803,198.424960042299,52.0500038333221,113.464859035041,1801.81737337892,1815.23554050486,0.856498247246536,0.562352407315805
"3",0.1,0.405019220322236,0.408115601300355,0.927,0.9295,0.9395,0.0359664614867919,0.0442220073812387,0.0453851111791787,0.0418670640380326,-0.0253819581718706,-7.61858841354047,-13.1246833393919,0.9545,0.9345,0.9355,0.683,0.6875,0.9735,0.976,57.8928292563933,86.4914201690527,34.8893941048002,86.6596485617751,1801.81737337892,1826.2004709141,0.856320273599913,0.589914958277447
"4",0.2,0.437810988768291,0.439663909107522,0.937,0.9285,0.9355,0.0306747058114006,0.0328566348011694,0.0340189206385025,0.0302367344466964,-0.0230794972795022,-5.4026484785114,-8.2567725612714,0.953,0.919,0.92,0.6415,0.642,0.9705,0.9765,48.3656885772288,62.5518450827161,25.546811489359,62.5859757835512,1801.81737337892,1887.36110078925,0.863694638317587,0.625982516800251
"5",0.25,0.45025378767853,0.45110190859879,0.939,0.9285,0.9285,0.0291634961228695,0.0321566574502051,0.0321566574502051,0.0291880063187491,-0.0236946493084651,-4.27741680631699,-5.87142250827484,0.9585,0.923,0.9225,0.6225,0.6305,0.973,0.9735,45.8851041459084,60.6469582681871,23.6007719100157,60.7799544939665,1801.81737337892,1904.99880962708,0.866334761717248,0.639707126008651
"6",0.3,0.461091145861946,0.461895757445179,0.943,0.945,0.9245,0.0282146549652019,0.0322210940629282,0.0287536904624786,0.0291526407324844,-0.0246578656065546,-3.07279895280151,-4.44941975311954,0.9585,0.9275,0.9005,0.6195,0.598,0.98,0.968,44.2527056249939,58.9418173058752,22.4862640214673,52.781450269517,1801.81737337892,1874.18050841834,0.869052425291589,0.651697311974955
"7",0.4,0.480279358798745,0.481032477295639,0.947,0.925,0.925,0.0273539440162865,0.0281183751205,0.0281183751205,0.0243928077559654,-0.0231433582101753,-0.32844350963184,-1.6235096050005,0.9555,0.91,0.911,0.6145,0.6065,0.9735,0.9735,42.6478325044495,48.8769913796286,20.437508684314,48.9158821518411,1801.81737337892,1831.60410810124,0.872914039014877,0.672640997779788
"8",0.5,0.499551669290652,0.499908980974381,0.9405,0.924,0.9425,0.0271612149744428,0.0271780827808899,0.0299814232062303,0.0231119020095441,-0.0227681284721114,0.7558297268402,0.156361659467478,0.954,0.9075,0.9255,0.6235,0.636,0.9755,0.9855,42.2120359759806,48.8854001596497,21.3945398637947,53.3688173743207,1801.81737337892,1904.34059006115,0.874297330042826,0.691860155942667
"9",0.6,0.519025074109158,0.517935885284673,0.936,0.9135,0.9135,0.0274767941225977,0.0282984667568526,0.0282984667568526,0.0229820799912235,-0.0243757921084352,1.31684652036849,2.9099772198776,0.9495,0.8975,0.896,0.6375,0.636,0.967,0.9675,42.6932600825843,48.3025414385349,21.4677445557995,48.3754322947904,1801.81737337892,1874.27096093585,0.873120894227453,0.710653832548612
"10",0.7,0.539078093072374,0.538115143424986,0.9335,0.941,0.921,0.0285765406017352,0.0323581880324844,0.028890482044589,0.0246560715271017,-0.0291370932686084,3.09492032137543,4.41139506432761,0.9525,0.905,0.882,0.6165,0.592,0.9845,0.9685,44.5373941097135,53.3351189914004,23.3370608087599,48.3983253874889,1801.81737337892,1921.72254496948,0.866973200516108,0.729966432397231
