"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.025,0.35283778770565,0.368378869048144,0.849,0.853,0.8805,0.0471610732726232,0.0706696861585117,0.074437206911917,0.0624978527412258,-0.0294098112412575,-273.560117039152,-270.459693325131,0.8845,0.866,0.881,0.76,0.782,0.7625,0.7845,37.8283016228477,76.2349469028219,35.7061800881308,77.479593854119,13.8011121766697,-60.0385070259876,0.858480802731451,0.543042175372065
"2",0.05,0.377176269776554,0.385433887911715,0.8915,0.968,0.9135,0.0426021841378577,0.104558716481272,0.0571354652395822,0.103615193913508,-0.0309177940407316,-229.092378293172,-229.409179906571,0.934,0.9805,0.969,0.921,0.9165,0.9245,0.918,32.8197754955826,108.837789940166,52.2658276051826,71.9625288207291,13.8011121766697,7.00692895155261,0.856945853394702,0.562352407315805
"3",0.1,0.405019220322236,0.408115601300355,0.927,0.9325,0.942,0.0359670312002974,0.0443170161861857,0.0454565145417179,0.0419570136524983,-0.025355100273085,-178.583991833516,-178.516600998753,0.9425,0.9655,0.9675,0.924,0.926,0.9245,0.927,26.4841110112451,55.0864731586014,35.7998278221797,55.3017237457675,13.8011121766697,82.9979084443786,0.856918876036323,0.589914958277447
"4",0.2,0.437810988768292,0.439663909107522,0.937,0.9275,0.9355,0.0306749782377357,0.0327563351757976,0.0339040248654148,0.0301896841668099,-0.0229757271319887,-117.342868695586,-116.861736167733,0.9445,0.9585,0.9595,0.903,0.907,0.903,0.907,21.822019840329,37.2912561801265,25.2538443470162,37.3967430761939,13.8011121766697,86.8937728314505,0.864493382404839,0.625982516800251
"5",0.25,0.45025378767853,0.45110190859879,0.939,0.9285,0.9285,0.0291636718694916,0.0321824899191931,0.0321824899191931,0.0291972303077608,-0.0237067190841532,-93.8205989849626,-93.8879870304531,0.9435,0.961,0.9615,0.897,0.9005,0.8975,0.901,20.6433675264719,36.8137924129186,23.787261434077,37.0271820608946,13.8011121766697,127.578530917415,0.866630468700298,0.639707126008651
"6",0.3,0.461091145861936,0.461895757445179,0.943,0.944,0.923,0.0282147255014175,0.032217555354284,0.0287415328358821,0.0291287418546609,-0.0246517658727872,-73.1087364013016,-73.0370563517965,0.948,0.962,0.954,0.9,0.8875,0.9005,0.8885,19.8851780215104,35.629458685997,23.1235914103139,32.8218195314784,13.8011121766697,103.444897539204,0.869277362622961,0.651697311974955
"7",0.4,0.480279358798745,0.481032477295639,0.947,0.924,0.924,0.0273539910847664,0.0281082596957158,0.0281082596957158,0.0243612514298724,-0.0231539662612627,-35.8255976718906,-35.7650504728503,0.943,0.9525,0.9545,0.8845,0.888,0.8845,0.888,19.1700489436451,29.8885564677656,20.603576072128,29.8747543726507,13.8011121766697,45.7832200971867,0.873092968137334,0.672640997779788
"8",0.5,0.499551669290652,0.499908980974381,0.9405,0.9235,0.9435,0.0271612838501833,0.0272033376960957,0.030020459392465,0.0231561755316927,-0.0227771964142048,-0.0511655499859506,-0.00747258664696112,0.9525,0.9565,0.965,0.894,0.9025,0.895,0.9035,19.0290817548397,30.1623655097716,21.5802435058302,32.1376045252623,13.8011121766697,89.395313630512,0.874206882174689,0.691860155942667
"9",0.6,0.519025074109158,0.517935885284673,0.936,0.913,0.913,0.0274769798915352,0.0282855951961361,0.0282855951961361,0.0229630359823534,-0.0243684778015495,35.561979916853,35.1945707322898,0.9485,0.957,0.956,0.898,0.897,0.898,0.897,19.1896079197319,29.7580443047906,21.5105325804373,29.8102324361132,13.8011121766697,76.1761083064113,0.872975250825137,0.710653832548612
"10",0.7,0.539078093072374,0.538115143424986,0.9335,0.9435,0.9195,0.0285766975684487,0.0323144302774093,0.0288634032112444,0.0246118110602912,-0.0291288335436159,73.4354878516483,73.0186532293019,0.9485,0.956,0.9425,0.901,0.887,0.902,0.888,20.0406043755788,33.2764340048077,23.2070355646714,30.9535220334062,13.8011121766697,145.037718711945,0.867340047659546,0.729966432397231
