"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.025,0.353569221747068,0.358812330704348,0.908,0.889,0.919,0.0443859756483862,0.0573054588615829,0.0607517896337134,0.0493276174730806,-0.02706043884396,-35.314302410847,-34.8773548169728,0.877,0.847,0.859,0.677,0.695,0.689,0.708,4.95795373394265,6.13278677118392,3.47618670066387,6.22096625711067,0.102204305785708,-83.1185303018801,0.89293127513038,0.559669947617219
"2",0.05,0.377223010473251,0.379994232261652,0.9525,0.987,0.9565,0.0389472775593747,0.0858436754685577,0.0494664627824108,0.0849554048585512,-0.0265806555839592,-29.5443466182956,-29.3408423114985,0.9295,0.981,0.9525,0.875,0.871,0.8835,0.874,4.40071034875629,9.30202151528422,4.76413115940257,6.57972127710146,0.102204305785708,-83.1150779128075,0.892770913070399,0.588288640231745
"3",0.1,0.404278672102122,0.406385521926885,0.951,0.961,0.9705,0.0308912694848917,0.0377974381185998,0.0389867097061357,0.0356091131523432,-0.0216349616646746,-23.0051032055778,-22.8797343608467,0.939,0.956,0.9565,0.847,0.851,0.8515,0.8555,3.53427400971599,4.49206984401063,2.95188351174684,4.5063682589587,0.102204305785708,-82.8960350652924,0.89313456993468,0.623347379604209
"4",0.2,0.436752761091081,0.43757562464109,0.955,0.9585,0.9645,0.0249317019186888,0.0286722221627827,0.0296878975130413,0.0261200343708938,-0.0201337617872218,-15.1337228338902,-15.0687113027227,0.9425,0.9455,0.9485,0.808,0.812,0.813,0.818,2.91320027613008,3.28552633777978,2.12451263126822,3.29348364117416,0.102204305785708,-84.0081953878188,0.896031775154608,0.659559280371932
"5",0.25,0.449055111897649,0.449662121673279,0.9485,0.963,0.963,0.0235486175836721,0.0279914376505007,0.0279914376505007,0.0254543137598237,-0.0205191244734127,-12.1392087947257,-12.0930607138589,0.943,0.948,0.9495,0.8185,0.822,0.822,0.826,2.76633969225203,3.09152025885951,1.94845582566775,3.10605277215134,0.102204305785708,-83.8864328010147,0.897453673527315,0.670272914162229
"6",0.3,0.460492250579037,0.460870610589827,0.949,0.974,0.962,0.0227679882903456,0.0280155132834953,0.0249182963614598,0.0252320459485582,-0.0216206704486027,-9.43289616624139,-9.42330521958025,0.9445,0.9535,0.9375,0.8015,0.783,0.81,0.7915,2.68081973268105,3.03457917094915,1.88581589052351,2.75818418319196,0.102204305785708,-82.9950923143281,0.899230082051599,0.678254573859152
"7",0.4,0.480327280842686,0.480985530362399,0.9505,0.9595,0.9595,0.021789901800033,0.0245881369448605,0.0245881369448605,0.0216382754663799,-0.0197896083858862,-4.62671008719907,-4.52533462555488,0.945,0.942,0.9425,0.7955,0.7945,0.802,0.8005,2.5746970721427,2.70771194143969,1.76466840831686,2.69798884382554,0.102204305785708,-84.9824023610959,0.901274875815734,0.688783205254779
"8",0.5,0.499317774995889,0.499539560168057,0.941,0.943,0.963,0.0214634052331169,0.0233796112720454,0.0259048327129638,0.0197493544735648,-0.0197898672958082,-0.0444513431039375,-0.0342263452174214,0.938,0.9255,0.941,0.7905,0.809,0.7985,0.8155,2.53069149416246,2.52943746565173,1.71489578077468,2.71325706051256,0.102204305785708,-84.6438348514214,0.902688591678039,0.69422393647494
"9",0.6,0.518359546010464,0.517839717136972,0.94,0.95,0.95,0.0218560446884146,0.0246219626498592,0.0246219626498592,0.0196751107945175,-0.0216144952129466,4.5361063255084,4.46989597040514,0.942,0.939,0.9385,0.7965,0.795,0.7995,0.7985,2.57259178014676,2.5823815934541,1.76334055282133,2.57022133935891,0.102204305785708,-84.7399349425966,0.901886911719844,0.695694922697134
"10",0.7,0.538589776762868,0.538062241337164,0.9465,0.973,0.954,0.0229849091553966,0.0282480985228222,0.025170216925661,0.021676729374446,-0.0254989856634409,9.41218244968872,9.37851266469538,0.9465,0.945,0.927,0.8015,0.783,0.8095,0.79,2.70157873370156,2.80122182441121,1.8596472476083,2.58970838485458,0.102204305785708,-85.4499198496481,0.899370572440371,0.694092686207934
"11",0.75,0.550053424630851,0.548910138841223,0.948,0.9605,0.9605,0.0238643558605325,0.0280786045711423,0.0280786045711423,0.0207523676695742,-0.0255377367056065,12.1475598648931,12.0594153825034,0.9525,0.942,0.9445,0.8155,0.821,0.8195,0.8255,2.79962646222973,2.81413938621982,1.9627039872386,2.83202050015856,0.102204305785708,-84.0669543371955,0.897660771109373,0.69206272453719
"12",0.8,0.562239060541037,0.56136504718396,0.9445,0.955,0.961,0.0251797924764596,0.0285749639674246,0.0296930747662524,0.0204074013904977,-0.0258973296148208,15.1523392092942,15.0890976638904,0.946,0.9385,0.948,0.827,0.827,0.8315,0.832,2.93972907819415,2.92955620710683,2.11103294804135,3.08913177309552,0.102204305785708,-84.9185057004076,0.895685998297679,0.689310580652016
"13",0.9,0.595558722566614,0.593139518364443,0.945,0.955,0.961,0.0308904624769258,0.0377421785730897,0.038795709245241,0.0217325512069865,-0.0358545738045069,23.1333288640552,22.9223552131432,0.941,0.948,0.958,0.844,0.8485,0.849,0.8515,3.54242743262591,3.71358294620801,2.95748465290589,3.9158430274596,0.102204305785708,-83.7213157936558,0.892522335010748,0.680365502609692
"14",0.95,0.623009732310211,0.619154763020701,0.946,0.9885,0.9425,0.0389849779437752,0.0864862959791888,0.0491168803115193,0.0269506459502911,-0.0856068562555972,29.6011611536431,29.4167195015426,0.939,0.9575,0.9575,0.877,0.8745,0.8895,0.88,4.39399637210339,5.61966971453184,4.7581492255159,5.51854097429153,0.102204305785708,-82.7941726754,0.892482690930625,0.672389459979653
"15",0.975,0.647374095964424,0.640960011561672,0.9035,0.882,0.914,0.0445077324011209,0.0577408925662187,0.0614614017688087,0.0268193772641262,-0.0500650865688462,35.3796386874439,34.9161377301909,0.8975,0.834,0.8765,0.6885,0.7135,0.705,0.729,4.95606747269483,4.48739444855613,3.45137877071204,5.04571135250957,0.102204305785708,-82.8168172894651,0.892290889979988,0.667693140164791
