"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.025,0.353619225877181,0.358812330704348,0.908,0.8895,0.9185,0.0443856704804982,0.0576826686358965,0.0611192586630118,0.0497423000353505,-0.0270264290423676,-22.1435297550104,-22.1704645803641,0.9225,0.8705,0.8855,0.8255,0.843,0.972,0.9815,4.08907530353276,4.10596125460654,3.48068506792464,4.20930485482119,88.0461825463688,7.41884178627748,0.892863398903461,0.559669947617219
"2",0.05,0.377223010473098,0.379994232261652,0.9525,0.9875,0.957,0.038947401225117,0.0854972795701038,0.0494260297881219,0.0846099031105202,-0.0265702237930129,-18.4944175608705,-18.5403232150471,0.9545,0.9805,0.9745,0.9555,0.9535,0.9985,0.9975,3.32425100822539,5.88464706329827,4.75855341385491,5.10909928415839,88.0461825463688,6.88058456059545,0.892743697949865,0.588288640231745
"3",0.1,0.404278672102122,0.406385521926885,0.951,0.961,0.9705,0.0308911745822843,0.0377446012686678,0.0389389620460346,0.0355589166833282,-0.0216297606401562,-14.3901836947688,-14.4544313342664,0.954,0.97,0.972,0.9485,0.952,0.995,0.9955,2.49870475617982,3.26946258007866,2.94549744935468,3.28621529339072,88.0461825463688,6.84434290425852,0.893151108863708,0.623347379604209
"4",0.2,0.436752761091082,0.43757562464109,0.955,0.958,0.9645,0.0249316720941664,0.0286768645119836,0.0297091275663685,0.0261281817449163,-0.0201420802238525,-9.44147133208758,-9.45051752042077,0.9535,0.963,0.964,0.934,0.9335,0.998,0.998,1.99440648416901,2.36699311273045,2.12110261608804,2.37488425529118,88.0461825463688,5.8880643836176,0.896024871333665,0.659559280371932
"5",0.25,0.449055111897649,0.449662121673279,0.9485,0.963,0.963,0.0235486706511739,0.0279858862338622,0.0279858862338622,0.0254420887397966,-0.0205197612431917,-7.55416886551409,-7.56265166445405,0.9565,0.9635,0.9645,0.9395,0.941,0.9975,0.9975,1.87138678693693,2.1606704713439,1.94950823542561,2.1806852365482,88.0461825463688,5.97382794474252,0.89744152914112,0.670272914162229
"6",0.3,0.460492250579035,0.460870610589827,0.949,0.9745,0.9625,0.0227679937232063,0.0280226038699315,0.0249254840073478,0.0252309475880034,-0.0216219054422845,-5.87719871835465,-5.90166017266468,0.9505,0.9645,0.9495,0.939,0.9265,0.9995,0.997,1.79407786043157,2.1041799683047,1.87797036810907,1.97033282820456,88.0461825463688,6.68299617710989,0.899223440093316,0.678254573859152
"7",0.4,0.480327280842686,0.480985530362399,0.9505,0.9595,0.9595,0.0217899638286295,0.0245866479209112,0.0245866479209112,0.0216562667315496,-0.0197706337530488,-2.85616536304081,-2.81403235817079,0.954,0.9605,0.958,0.932,0.9305,0.997,0.997,1.71297451241963,1.9277685143531,1.76148261120717,1.91270296668595,88.0461825463688,5.0465779166529,0.901253108140045,0.688783205254779
"8",0.5,0.499317774995889,0.499539560168057,0.941,0.943,0.9625,0.021463408958169,0.0233690258582452,0.0258858838538542,0.0197444218354211,-0.019783339789024,0.016948907266012,0.00721323965744851,0.9585,0.9575,0.967,0.9355,0.9435,0.9985,1,1.69273273234304,1.85133865809968,1.71459887520512,1.92849902368315,88.0461825463688,5.17193988391198,0.902704711761476,0.69422393647494
"9",0.6,0.518359546010464,0.517839717136972,0.94,0.95,0.95,0.0218559796331395,0.0246138429127635,0.0246138429127635,0.0196803154407118,-0.0215947553263235,2.88374718456665,2.86432142807764,0.954,0.954,0.954,0.93,0.928,0.9985,0.9985,1.73346788195375,1.9142569488016,1.76384722112572,1.90148750833495,88.0461825463688,5.36778976474889,0.901909284011262,0.695694922697134
"10",0.7,0.538589776762868,0.538062241337164,0.9465,0.9735,0.9545,0.0229847651266748,0.0282495714903161,0.025173548121838,0.0216707162899329,-0.0255134198977831,5.93910254103061,5.95291094435065,0.9605,0.9595,0.944,0.929,0.916,0.9985,0.998,1.81581630438029,2.04771941411169,1.86499158607811,1.93629223046794,88.0461825463688,4.77376232917886,0.899326977812028,0.694092686207934
"11",0.75,0.550053424630851,0.548910138841223,0.948,0.961,0.961,0.0238642968589732,0.0280679423519444,0.0280679423519444,0.0207600441014407,-0.0255230315289735,7.64275164811644,7.6575028867933,0.962,0.961,0.963,0.9395,0.942,0.999,0.9995,1.88803770388922,2.14524080722678,1.97129194844283,2.16699285587347,88.0461825463688,6.32097305298317,0.897671780033923,0.69206272453719
"12",0.8,0.562239060541037,0.56136504718396,0.9445,0.955,0.961,0.0251797711663675,0.0285390608038634,0.0296450721929995,0.0204034866482751,-0.0258708739123431,9.55082376060084,9.56624341733403,0.959,0.9655,0.966,0.9435,0.9445,0.9985,0.998,1.99953203539631,2.26763734310083,2.11614794952775,2.29901000492691,88.0461825463688,5.38396509875078,0.895749073528789,0.689310580652016
"13",0.9,0.595558722566614,0.593139518364443,0.945,0.9545,0.9605,0.0308903510262718,0.037767737021653,0.0388200823643058,0.0217117310241937,-0.035880490564158,14.5330438330599,14.5397985603434,0.961,0.974,0.979,0.953,0.9535,0.998,0.998,2.5198568591918,3.10546229853935,2.96388052224734,3.15679693116631,88.0461825463688,6.73685728043318,0.892498174099458,0.680365502609692
"14",0.95,0.623009732310258,0.619154763020701,0.946,0.9885,0.942,0.0389847734684764,0.0858211004835663,0.0491526812275917,0.0269660877338947,-0.08494228462715,18.5302852457196,18.6927908296795,0.9645,0.966,0.9635,0.95,0.9475,0.9995,0.9955,3.31755077440916,4.92126010311015,4.76783630800954,4.81221228730397,88.0461825463688,7.86155441201292,0.892532877320968,0.672389459979653
"15",0.975,0.6473966878815,0.640960011561672,0.9035,0.883,0.914,0.0445080557911791,0.0572097728852191,0.0609250377577849,0.0268055706563631,-0.0495337247845497,22.1176052959786,22.2297366896404,0.928,0.8645,0.8915,0.832,0.8545,0.969,0.9765,4.03000500382329,3.64674275500181,3.44747859551625,3.86763078852801,88.0461825463688,7.5161578183528,0.892330677579026,0.667693140164791
