"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.025,0.35440719123308,0.380921619728972,0.8025,0.651,0.7455,0.0579480067201031,0.0516855917791802,0.0630847637335954,0.0239037510620306,-0.0337474711501374,-228.419775226554,-228.969905245353,0.8655,0.6915,0.7595,0.61,0.6815,0.707,0.7795,41.2018095071434,50.4230779077653,27.6897929537726,54.389791740721,288.727154302259,308.153417273121,0.879568436229616,0.56891125469689
"2",0.05,0.378414166261789,0.393747475895017,0.8835,0.8585,0.8825,0.055522258049382,0.0765673966826505,0.0807832997832043,0.0674407738569381,-0.0333139179485767,-191.567417861194,-192.701865793261,0.9305,0.896,0.9205,0.788,0.828,0.883,0.909,41.1666557309663,86.3695690797106,39.5725296510197,88.3409255333233,288.727154302259,382.818773161503,0.879752734342081,0.578690443860089
"3",0.1,0.4050419997433,0.413736656322309,0.9225,0.971,0.907,0.050645061123224,0.108920187886048,0.0653161012659568,0.107574885573434,-0.0364714031768233,-149.463074817863,-151.336323576084,0.9515,0.9885,0.978,0.9325,0.9285,0.9765,0.96,34.9226180683877,124.588270295433,61.262330646434,90.9151235663706,288.727154302259,530.973997936643,0.879370682996957,0.600363390436091
"4",0.2,0.437034783928454,0.442365085928174,0.9365,0.922,0.8875,0.0441638779602904,0.0528468074389651,0.0438972451422891,0.0493579509778547,-0.0315095402640348,-97.7417317515581,-98.7113902748587,0.956,0.981,0.9615,0.933,0.909,0.9635,0.9485,27.995855870592,67.6105165469348,42.9120508957259,55.4836703544149,288.727154302259,579.82864071479,0.884224296978015,0.63198761211971
"5",0.25,0.450765048008635,0.454074982839901,0.939,0.929,0.929,0.0420627992177365,0.0477520582311517,0.0477520582311517,0.0435448874902054,-0.031443859571028,-78.2565314591191,-78.913560850148,0.952,0.971,0.9735,0.9255,0.9305,0.96,0.9605,26.5843374397083,57.5187953252574,38.781212963765,58.3171500416717,288.727154302259,503.434824192918,0.886569219158476,0.644635586848479
"6",0.3,0.462593945543417,0.464340384163471,0.9475,0.916,0.916,0.0409627813629566,0.0448235804796348,0.0448235804796348,0.0405233091118287,-0.0317924588737899,-60.6675377648139,-61.2576248415618,0.9605,0.974,0.9795,0.931,0.9405,0.962,0.965,25.4097372610978,57.4114323659477,38.4066703181058,58.5107272189796,288.727154302259,616.259325865952,0.890615363310972,0.656286817221553
"7",0.4,0.482434339700369,0.483838319687527,0.9515,0.9035,0.916,0.0394512208047104,0.0389548652325082,0.0414347780630291,0.0335031406829727,-0.0299743747049972,-29.405976300638,-29.3516427822823,0.957,0.9665,0.9635,0.927,0.9235,0.96,0.962,24.1847872680188,51.5341687893098,36.0457405534401,50.662191749306,288.727154302259,609.247058542662,0.894974677614799,0.67729240786658
"8",0.5,0.501498942398281,0.50103225536804,0.9465,0.936,0.936,0.0390503877321099,0.0427894571713062,0.0427894571713062,0.0354085580351533,-0.035739260140383,0.336787555827755,0.328993513553177,0.9605,0.975,0.978,0.932,0.939,0.969,0.973,23.8854064256939,50.8136278504016,34.7930359710341,51.5580238150972,288.727154302259,577.452783135755,0.895860496312252,0.696221380928211
"9",0.6,0.519778172805918,0.519577582117354,0.945,0.8995,0.9175,0.0396039763380969,0.038763246370799,0.0413643256455372,0.029889129016472,-0.0331860021033963,30.3882002712484,30.2854344719547,0.9575,0.968,0.969,0.9285,0.9255,0.9595,0.9625,24.3455960439193,49.0311245397247,35.4128301859681,51.2254230112983,288.727154302259,609.078221854386,0.895706673894618,0.714521131797463
"10",0.7,0.540326179416751,0.53809118719005,0.9465,0.924,0.924,0.0410676086227832,0.0449499662003967,0.0449499662003967,0.0320784344990248,-0.0404461315064732,61.8316234468566,62.6082803648893,0.957,0.971,0.9765,0.928,0.936,0.963,0.969,25.4299095117817,54.4539340490681,39.4777563572962,55.5965448729752,288.727154302259,637.687036105217,0.890788876809431,0.733456779167784
