"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.025,0.354367352581092,0.366088709071212,0.8335,0.6885,0.808,0.0531753312630861,0.046261051130066,0.0575863042133817,0.016177203222454,-0.0339677938756951,-8.89667890816803,-10.6270804992114,0.8915,0.5315,0.587,0.474,0.538,0.841,0.922,7.95626834775848,4.34909088123004,2.99683527976009,4.77197791159208,176.277547725309,103.017291357592,0.894894253238586,0.586860072882788
"2",0.05,0.377323943383003,0.384562152946746,0.923,0.9035,0.9325,0.0510088731135679,0.0671082371869772,0.0712139407194653,0.0576813451986731,-0.031714882014794,-7.45265564896546,-8.27867025388288,0.9395,0.82,0.8345,0.6705,0.7005,0.965,0.9765,7.28808754775443,7.62165833782321,3.87417280403781,7.76025949686201,176.277547725309,102.159284376693,0.895591721431274,0.601695040282956
"3",0.1,0.403944875948648,0.4084679584248,0.95,0.9875,0.9565,0.0452025178454731,0.0996692516299323,0.0588130373187953,0.0984162617512808,-0.0323904278567706,-5.71014526730651,-6.24105292715094,0.961,0.9555,0.919,0.848,0.8465,0.996,0.9915,6.11285916141034,11.7424643556263,5.39325861097109,8.06175403410999,176.277547725309,101.675524361199,0.896532503162951,0.630850973474247
"4",0.2,0.437073775935492,0.439460852128778,0.9585,0.9615,0.9335,0.0368480145229959,0.0471126241901154,0.0386823119683292,0.0440483504082234,-0.0279731068588544,-3.80663372187121,-4.08090468022454,0.9705,0.934,0.895,0.829,0.7805,0.9975,0.994,4.77874365418214,5.74355948141165,3.33604915878917,4.57468007047673,176.277547725309,101.447788807573,0.900095340246867,0.663659188266307
"5",0.25,0.449159978564594,0.450817039005213,0.944,0.948,0.948,0.0344214842257898,0.0422534760413804,0.0422534760413804,0.0381019190023314,-0.0281157429468588,-3.05234800876053,-3.24677622202986,0.9695,0.9195,0.919,0.812,0.821,0.995,0.9955,4.42234458106921,4.96105646253786,2.97868483255153,5.01122062639722,176.277547725309,98.9909917935636,0.903236481256165,0.673180807324825
"6",0.3,0.460056549559884,0.461648244342193,0.944,0.955,0.955,0.0334458118054208,0.0404513450641121,0.0404513450641121,0.0366734235298311,-0.0283648507284993,-2.34136421305539,-2.50011756775817,0.971,0.908,0.9145,0.804,0.8165,0.995,0.9955,4.27770381037548,4.785312235234,2.8106035357699,4.86406869503519,176.277547725309,101.057038430795,0.90481103592425,0.680728915835057
"7",0.4,0.480224166280724,0.48042239482825,0.9535,0.932,0.9525,0.0321540561643765,0.0349473630607687,0.037491408114964,0.0301330140328114,-0.027013135322639,-1.15083259159309,-1.11482941905159,0.969,0.905,0.902,0.799,0.7905,0.9925,0.9945,4.05530782785966,4.1089269426669,2.61916380028319,4.05858010820009,176.277547725309,99.3160114090936,0.907362168526084,0.690532991910378
"8",0.5,0.499449774504904,0.498899286984257,0.953,0.959,0.959,0.0319604533239854,0.0396754403556211,0.0396754403556211,0.0323157500752766,-0.0333676500435264,-0.0189973011863886,0.000898443911381259,0.9655,0.9095,0.91,0.7875,0.7985,0.9935,0.9935,3.98139110722482,4.2134926852437,2.53791380756829,4.26182139762628,176.277547725309,97.8085344783124,0.908397934660602,0.695505966513462
"9",0.6,0.51902129955427,0.518365343041568,0.9575,0.945,0.955,0.0326959720596269,0.0357732786108557,0.0380392468215213,0.0273027334482928,-0.0309014366911052,1.09548387685426,1.11480458437219,0.971,0.882,0.89,0.7825,0.772,0.995,0.996,4.070642662224,3.93659242516383,2.6366211680394,4.2201226105708,176.277547725309,99.3475370192947,0.907233782042212,0.69701991484567
"10",0.7,0.539249957167885,0.53866288421293,0.9575,0.96,0.96,0.0341594129362516,0.0416851278320693,0.0416851278320693,0.0293798857195533,-0.0372753423390123,2.30853601120192,2.34912559836644,0.972,0.902,0.909,0.7945,0.808,0.9955,0.9965,4.30197491127035,4.31495304873809,2.88582646142441,4.38829028477166,176.277547725309,100.436345493863,0.904742614136096,0.695601268379004
