"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",0.025,0.354397197107566,0.366088709071212,0.8335,0.704,0.8165,0.0531762890440528,0.0499952404072381,0.0610025790930947,0.0204502401170139,-0.0341457226207837,-61.3279232470472,-58.8351452335751,0.7785,0.3585,0.388,0.235,0.2685,0.5685,0.678,12.697010851254,7.70098135713887,2.99356660117419,8.1216554380611,-176.75533612065,-258.724137862567,0.894342960319389,0.586860072882788
"2",0.05,0.377323943383002,0.384562152946746,0.923,0.9045,0.9335,0.0510094280211517,0.0688813691869187,0.0729419295211027,0.0596175085270736,-0.0317959259407867,-51.6160360310846,-49.8362951930543,0.883,0.7945,0.803,0.3705,0.388,0.8085,0.8495,12.9177377513979,16.7743057449204,3.85519449608389,16.8760211838648,-176.75533612065,-260.748994551511,0.895441391372628,0.601695040282956
"3",0.1,0.403944875948648,0.4084679584248,0.95,0.988,0.9565,0.0452027577836284,0.0997588729572877,0.0592173216320121,0.0984956998912934,-0.0324872002498082,-40.2899899257932,-39.1925878942231,0.929,0.9725,0.919,0.5715,0.566,0.962,0.8995,11.8354615179043,26.7131115497274,5.30847881007696,15.6356935952289,-176.75533612065,-260.04765406712,0.896518290973388,0.630850973474247
"4",0.2,0.437073775935492,0.439460852128778,0.9585,0.963,0.9355,0.0368481069466176,0.0472501680023534,0.038906687409313,0.0441521126383547,-0.0279940988213221,-26.460074385094,-25.8749979138643,0.938,0.934,0.8715,0.486,0.4335,0.898,0.835,9.87181933208083,12.3047273235908,3.29230964863966,9.38061337768606,-176.75533612065,-260.886565783164,0.900115208679467,0.663659188266307
"5",0.25,0.449159978564594,0.450817039005213,0.944,0.95,0.95,0.0344220329957669,0.042365328272632,0.042365328272632,0.0382495625258553,-0.0281647623058327,-21.3547557255068,-20.9526421801533,0.9345,0.915,0.917,0.463,0.4705,0.8695,0.871,9.32334248133404,10.7930989063622,2.93979847517928,10.8240845077273,-176.75533612065,-263.710107866325,0.903236015823757,0.673180807324825
"6",0.3,0.460056549559884,0.461648244342193,0.944,0.956,0.956,0.0334460078788791,0.0405844657548641,0.0405844657548641,0.0367732375485955,-0.0284534750868579,-16.7210063714972,-16.3067496045687,0.933,0.9275,0.9305,0.443,0.462,0.8675,0.871,9.0470489022637,10.2950483548069,2.78596459205409,10.3443160294894,-176.75533612065,-261.943414350953,0.904792826633503,0.680728915835057
"7",0.4,0.480224166280724,0.48042239482825,0.9535,0.9315,0.952,0.0321542270591805,0.0350326887450255,0.0375575104168153,0.0301727568387181,-0.0270728452257818,-8.27013273053235,-8.16276728088162,0.9385,0.8905,0.8925,0.4155,0.403,0.834,0.8525,8.74452055840271,8.58238193672121,2.58807981385624,8.55471209601316,-176.75533612065,-263.719981410387,0.907392089903161,0.690532991910378
"8",0.5,0.499449774504904,0.498899286984257,0.953,0.96,0.96,0.0319603536683027,0.039751257783279,0.039751257783279,0.0323552079993906,-0.0334496983469408,-0.217078479421097,-0.395358241755968,0.9425,0.9105,0.912,0.4225,0.4335,0.8775,0.878,8.72499388171626,9.15427635213103,2.47448171292053,9.1822182467458,-176.75533612065,-266.090523782903,0.908472937297859,0.695505966513462
"9",0.6,0.519021299554269,0.518365343041568,0.9575,0.9465,0.9565,0.0326961985241634,0.0358496739583946,0.0380759298090385,0.0273384526097146,-0.0309607835578444,7.94315171639125,7.72632807933662,0.9455,0.877,0.9065,0.4415,0.4325,0.845,0.8665,8.93019176435742,7.97007354032071,2.60535169862316,9.0295464162693,-176.75533612065,-263.590649009733,0.907297296674587,0.69701991484567
"10",0.7,0.539249957167885,0.53866288421293,0.9575,0.9615,0.9615,0.0341596592262244,0.0418171567771101,0.0418171567771101,0.0294835690862011,-0.037388402681952,16.4385205916406,16.2677639150211,0.942,0.894,0.8945,0.4535,0.4705,0.887,0.891,9.28579554758926,8.61817801238892,2.80542138401584,8.66130542814944,-176.75533612065,-266.311378765195,0.904815685564876,0.695601268379004
"11",0.75,0.550310266149327,0.549380697626616,0.9515,0.96,0.96,0.0351460047404029,0.0434187003850902,0.0434187003850902,0.0284972068571578,-0.0396325168697552,21.1580286435811,20.8948779589362,0.939,0.877,0.879,0.4505,0.454,0.878,0.879,9.5540535597802,8.42763522655665,2.95506980777166,8.46334768413914,-176.75533612065,-265.811156254043,0.90288874572095,0.694040179959861
"12",0.8,0.562599291569648,0.561420744439498,0.9575,0.9635,0.933,0.0373456306283859,0.0474183733571095,0.0391818867800995,0.0284527924180186,-0.0444857337478113,26.3566459818252,26.0326754075188,0.943,0.875,0.86,0.4845,0.4295,0.9015,0.84,10.0314493082923,8.59001165267762,3.34206734629406,8.32168018780531,-176.75533612065,-264.246076426171,0.899765784676551,0.691925599622306
"13",0.9,0.596750721400655,0.592275276010247,0.9505,0.988,0.9495,0.0456384933920585,0.0995557357297894,0.0598152881536139,0.0325670205611524,-0.0985203429602933,40.5238083388775,39.4214276598767,0.9325,0.874,0.8715,0.5605,0.555,0.9625,0.9025,11.9413146889066,10.7579805406318,5.1919353151684,10.6769929730616,-176.75533612065,-262.529525294267,0.895513644264188,0.684639576689629
"14",0.95,0.623557742431299,0.615873018280572,0.9135,0.898,0.9265,0.0514540057446034,0.069270184682228,0.0730316279597269,0.031724134855126,-0.0596440344835843,51.7819860722047,49.8911447122681,0.876,0.7545,0.8335,0.384,0.4025,0.8095,0.848,13.0356935799465,9.7285043172061,3.80995187329873,11.930620558601,-176.75533612065,-260.682295667287,0.894797658616151,0.678636472943087
"15",0.975,0.648065876331385,0.635886270103307,0.8305,0.702,0.8135,0.0533171853799263,0.0493912685291587,0.0604486757548762,0.0356144726946062,-0.0178372822888625,61.9936807594453,59.5107692417807,0.7825,0.647,0.751,0.226,0.2545,0.5795,0.6885,12.7857728820221,10.4211127973862,2.92188336508509,13.7122319673886,-176.75533612065,-260.572029683073,0.893017911061933,0.680345220878586
