"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0.025,1,1.00912051858723,0.942,0.943,0.937,0.36241343770039,0.420027883983201,0.385577129730005,0.402657047806877,-0.271039679073857,-29.916127518622,-30.0013110427016,0.947,0.962,0.953,2.10345568567562,2.42791346749766,2.22867998612922,2.32748524630172,-1.5666062627746,0.144311608601575,0.129095682900416,0.0438655064053723
"2",0.05,1,1.00555270098482,0.941,0.953,0.95,0.248088111048339,0.280687047276661,0.268008275461652,0.269198561878553,-0.199772279308059,-23.0061590745936,-23.0177321819965,0.946,0.957,0.953,1.4289272619046,1.62258089609502,1.54921212687001,1.55623075926745,-1.15456114101101,0.144311608601575,0.137679845837715,0.0499748200134589
"3",0.1,1,1.00473020010284,0.95,0.958,0.951,0.168429600942184,0.184601501213207,0.180159524947738,0.175057728160925,-0.145899968200982,-16.0628654037831,-16.1078711620065,0.948,0.961,0.958,0.973335081076864,1.06724210606092,1.04158723454121,1.01208902709451,-0.843386741026335,0.144311608601575,0.141747229937433,0.0605244896111757
"4",0.2,1,1.00034070848185,0.946,0.959,0.962,0.112188368234561,0.119582351587032,0.121077525350916,0.112987331680919,-0.0996344065248318,-9.1348607234676,-9.1899809254269,0.945,0.957,0.959,0.644256307050079,0.691205783014987,0.699860165686331,0.653010281727821,-0.575965658587224,0.144311608601575,0.14334124663971,0.0790511370964481
"5",0.25,1,1.00360059144241,0.936,0.949,0.952,0.0972507720893398,0.102694495977133,0.104006705242336,0.096641625621322,-0.0872578583843616,-6.91619824360126,-6.96374940779952,0.947,0.957,0.961,0.558962850431698,0.593760182673048,0.601339810522827,0.558770613580492,-0.504428346790709,0.144311608601575,0.14359723919392,0.0881068363604868
"6",0.3,1,1.00139306266707,0.947,0.961,0.961,0.0856426324970536,0.0921307943220696,0.0921307943220696,0.0869159940910426,-0.0789190287758472,-5.09702865050128,-5.13506796362008,0.945,0.962,0.962,0.493101562400216,0.532579216001332,0.532579216001332,0.502457562374425,-0.456209924284662,0.144311608601575,0.143739110530638,0.0967879512459267
"7",0.4,1,1.00167083412204,0.95,0.954,0.954,0.0686252624520031,0.0735550207476269,0.0735550207476269,0.0688789268978651,-0.0638145562535349,-2.22989215059903,-2.24890192036031,0.95,0.963,0.963,0.39476605707262,0.425226652407815,0.425226652407815,0.398222351889973,-0.368887428093023,0.144311608601575,0.143881064281418,0.111159456383014
"8",0.5,1,0.999553296220856,0.956,0.959,0.959,0.0593480441145561,0.0631549924771061,0.0631549924771061,0.0575882730673527,-0.0573312868193439,0.00560627513970675,-0.0041584146796428,0.958,0.97,0.97,0.338674970454748,0.365064266646461,0.365064266646461,0.33285838769666,-0.331372239983202,0.144311608601575,0.143904965745258,0.117078068475594
"9",0.6,1,0.999806156100427,0.951,0.96,0.96,0.0680499044580032,0.0730623926168018,0.0730623926168018,0.0635390863878502,-0.0686320053744774,2.23068368869043,2.2388359189901,0.949,0.955,0.955,0.393299286460595,0.422330024317352,0.422330024317352,0.367318072931021,-0.396709614746082,0.144311608601575,0.143863953469242,0.111368679523376
"10",0.7,1,1.00083239888674,0.936,0.956,0.956,0.0852350167936656,0.0916217243045172,0.0916217243045172,0.0792184580245618,-0.086040778701271,5.12322057554909,5.11517969170187,0.955,0.965,0.965,0.491199487720123,0.529638961967103,0.529638961967103,0.457936517751485,-0.497408961390741,0.144311608601575,0.143767698828207,0.0971362518743224
"11",0.75,1,1.00186874945856,0.945,0.96,0.961,0.096570247692164,0.102936662938354,0.104127956571276,0.0859018882470029,-0.0978692854881529,6.95198903209101,6.92164409797782,0.95,0.958,0.959,0.558682800128681,0.59510197121678,0.601996833801541,0.49668168051479,-0.56574284923699,0.144311608601575,0.143626151762256,0.088324331634853
"12",0.8,1,1.00451084000297,0.951,0.956,0.959,0.113379787246771,0.120579830774343,0.122089611891404,0.101017049771924,-0.113321034506647,9.19537558177404,9.16536482422566,0.948,0.965,0.967,0.650027768043384,0.697078200946036,0.705797247495327,0.583962351560504,-0.65514826300039,0.144311608601575,0.143354274874372,0.0790340300907466
"13",0.9,1,1.00511391842273,0.944,0.957,0.953,0.169144821661822,0.184088007126413,0.179467927911332,0.14458018641362,-0.174695087598293,16.1039571434893,16.1136294982541,0.951,0.957,0.958,0.973469537153865,1.06440817666687,1.03767346285075,0.835912440179182,-1.01001194382897,0.144311608601575,0.141805236895302,0.0606908120409758
"14",0.95,1,1.00453726914448,0.954,0.968,0.961,0.248367704970494,0.28069874535314,0.266238246917558,0.20046173089327,-0.269388565962388,23.0576094323237,22.9947816838663,0.949,0.958,0.957,1.43134718787821,1.62269204687898,1.53916120718775,1.15883549680443,-1.55743923712963,0.144311608601575,0.138256013984552,0.0497429398291749
"15",0.975,1,1.00565369608752,0.951,0.959,0.949,0.360112336296979,0.417502436639553,0.383363709892113,0.266957981196741,-0.401178620336753,30.1137131556958,29.9571507634828,0.959,0.968,0.956,2.08852250557818,2.41344209532968,2.21590889028572,1.54315166358165,-2.31907937543436,0.144311608601575,0.129863900724779,0.0436693139330755
