"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0.025,1,0.986140618006874,0.937,0.869,0.869,0.440595479958679,0.50885908171112,0.50885908171112,0.435797417110266,-0.253905799904063,-19.5996398454005,-19.4012769768281,0.907,0.885,0.885,2.59222172181825,2.95671939319618,2.95671939319618,2.53204409144224,-1.47761308587981,0.250254182714744,0.203733468490978,0.149326962539248
"2",0.05,1,1.00273318257726,0.962,0.988,0.946,0.399506076384935,0.761463395953488,0.462034537922632,0.752447690556337,-0.263585633111258,-16.4485362695147,-16.3476351236967,0.953,0.989,0.946,2.28118653064968,4.42610078999463,2.68615074431668,4.37395177783336,-1.53075634172265,0.250254182714744,0.224458998825981,0.14382719552894
"3",0.1,1,0.988069900731221,0.957,0.954,0.901,0.32601499887933,0.369232412881643,0.302658022343789,0.349963086939669,-0.215258869966363,-12.815515655446,-12.7160376530159,0.946,0.961,0.913,1.85586377517557,2.1453684103134,1.75849404226079,2.0332062049104,-1.25006556256134,0.250254182714744,0.235421573492313,0.139375821614216
"4",0.2,1,0.981504219600794,0.962,0.953,0.953,0.26962769989771,0.284401708405829,0.284401708405829,0.25850736017547,-0.203196664023806,-8.41621233572914,-8.32856366178666,0.949,0.953,0.953,1.51211610518545,1.65314543420679,1.65314543420679,1.50272138109155,-1.18115659054504,0.250254182714744,0.242059490013808,0.138454326801871
"5",0.25,1,0.986327089576685,0.965,0.959,0.941,0.256002257323153,0.277049039698464,0.255602129284345,0.251016261176816,-0.207901196551653,-6.74489750196082,-6.67842890330933,0.947,0.962,0.946,1.44337961537621,1.61046313931636,1.48603375014104,1.45865945226107,-1.20909459111326,0.250254182714744,0.243974288576789,0.138379508132845
"6",0.3,1,0.9849408176424,0.965,0.948,0.948,0.246166527350291,0.251744147385183,0.251744147385183,0.22518606305468,-0.192162801692715,-5.24400512708041,-5.16385081045538,0.947,0.955,0.955,1.38829597029197,1.46389405846762,1.46389405846762,1.30955114598731,-1.11633716360945,0.250254182714744,0.244961529855999,0.13870839431671
"7",0.4,1,0.993391926002579,0.944,0.95,0.938,0.236141724963955,0.249696204446229,0.236478921793352,0.215926980212273,-0.205013245976637,-2.533471031358,-2.50343492791944,0.959,0.954,0.946,1.33155436344266,1.45096803568679,1.37413282291601,1.25436631715496,-1.1912696902338,0.250254182714744,0.245948628506152,0.138881744173025
"8",0.5,1,0.988519966737482,0.954,0.95,0.95,0.234162642690055,0.242793643518863,0.242793643518863,0.205105262996311,-0.204014355506662,0,0.0340314712013607,0.949,0.961,0.961,1.32972650554358,1.4105488541856,1.4105488541856,1.19173918044648,-1.18557956235659,0.250254182714744,0.246081480576126,0.138933782319642
"9",0.6,1,0.989825842321569,0.963,0.953,0.948,0.237533261602797,0.250838771742868,0.236577946414219,0.203926504891584,-0.219899137952363,2.533471031358,2.5666323073062,0.954,0.963,0.951,1.34517279367574,1.45791166271436,1.37500079829299,1.18499772214165,-1.27763619503084,0.250254182714744,0.245752876868357,0.13972998643802
"10",0.7,1,0.992164389076114,0.962,0.946,0.946,0.245554206563206,0.251552353782728,0.251552353782728,0.195607391066505,-0.225205310454349,5.24400512708041,5.29407654868744,0.959,0.962,0.962,1.40607410333112,1.46138318587307,1.46138318587307,1.13610002930091,-1.30866903264788,0.250254182714744,0.24440070871981,0.140656748926087
"11",0.75,1,0.992040151156541,0.958,0.961,0.947,0.25386925157135,0.282844821165933,0.258492855099509,0.211772593344252,-0.25665497883134,6.74489750196082,6.82140160104635,0.956,0.969,0.957,1.45118169727732,1.64398385831273,1.50234134786665,1.230850083219,-1.49110086947771,0.250254182714744,0.24387856524166,0.140627851690672
"12",0.8,1,0.995798090695319,0.952,0.947,0.947,0.26655194476903,0.287650970871746,0.287650970871746,0.201599016510745,-0.264271773859776,8.41621233572914,8.46361134962875,0.947,0.951,0.951,1.5208699779473,1.6712707858982,1.6712707858982,1.17144356152017,-1.5346365320508,0.250254182714744,0.241863851446062,0.140741513967784
"13",0.9,1,0.994789948732215,0.944,0.948,0.908,0.321685497296739,0.36916098885755,0.303046144567539,0.217217909909897,-0.3455421613982,12.815515655446,12.8592607118681,0.952,0.947,0.916,1.83862211200775,2.14508128943544,1.76135487344806,1.26154826949592,-2.00838039252667,0.250254182714744,0.236082496875424,0.141547049210461
"14",0.95,1,1.01057310105203,0.955,0.979,0.926,0.395102087919145,0.756237941780764,0.458581042843094,0.264506022208681,-0.745817659905026,16.4485362695147,16.4968994258402,0.933,0.982,0.938,2.28393785169299,4.39905456895835,2.66774533750208,1.53828947199364,-4.33867350554181,0.250254182714744,0.222831637112219,0.145198461647941
"15",0.975,1,1.00525937995442,0.93,0.86,0.86,0.435574689125835,0.497234991218987,0.497234991218987,0.256934765977366,-0.422842890118327,19.5996398454005,19.5456652158044,0.888,0.861,0.861,2.57799701183382,2.89469574021045,2.89469574021045,1.49317551907315,-2.46229958739512,0.250254182714744,0.205777418271367,0.152166126626262
