row,quantile,popn_slope,sample_mean_slope,slopeCI_bootstrap_coverage,slopeCI_evd_max_coverage,slopeCI_binomial_max_coverage,mean_bootstrapCI_slope_std,mean_evd_maxCI_slope_std,mean_binomial_maxCI_slope_std,mean_evd_lb_slope_std,mean_evd_ub_slope_std,popn_intercept,sample_mean_intercept,interceptCI_bootstrap_coverage,interceptCI_evd_max_coverage,interceptCI_binomial_max_coverage,mean_bootstrapCI_intercept_std,mean_evd_maxCI_std,mean_binomial_maxCI_std,mean_evd_lb_std,mean_evd_ub_std,Rsquared,1-QR_residualVAR/YVAR,R1
1,0.025,1,1.003690321,0.905,0.862,0.896,0.085029483,0.096455621,0.102911692,0.08271388,-0.049690789,-19.59963985,-19.57428812,0.875,0.823,0.86,3.832870586,3.737674963,3.9881065,3.208127554,-1.923829971,0.898585204,0.892172455,0.547007665
2,0.05,1,1.001706413,0.943,0.978,0.915,0.076951601,0.146177254,0.087749082,0.144894148,-0.049740885,-16.44853627,-16.3935082,0.933,0.973,0.903,3.416250268,5.666720781,3.400591549,5.616410702,-1.92299961,0.898585204,0.89481417,0.563222087
3,0.1,1,0.999980303,0.951,0.949,0.958,0.062944737,0.071604733,0.07337696,0.068017178,-0.040558354,-12.81551566,-12.66731356,0.936,0.92,0.932,2.756269279,2.775899002,2.845369039,2.634303392,-1.57271101,0.898585204,0.896327798,0.588928632
4,0.2,1,1.000798566,0.943,0.942,0.95,0.051682799,0.054075424,0.056104074,0.049280417,-0.038029298,-8.416212336,-8.361568887,0.931,0.906,0.916,2.242191859,2.097170779,2.175732043,1.913714185,-1.471661512,0.898585204,0.897439517,0.625778969
5,0.25,1,1.001760552,0.954,0.957,0.957,0.049456154,0.052991556,0.052991556,0.047762268,-0.04005864,-6.744897502,-6.750080459,0.935,0.929,0.929,2.134683139,2.053380756,2.053380756,1.849352291,-1.553514931,0.898585204,0.897668854,0.640256913
6,0.3,1,1.000868832,0.955,0.97,0.938,0.047942948,0.053850328,0.048061337,0.04849922,-0.041858363,-5.244005127,-5.239992987,0.949,0.938,0.909,2.066752391,2.087688059,1.862899962,1.879434039,-1.624138583,0.898585204,0.897789067,0.653224155
7,0.4,1,1.002260722,0.964,0.96,0.96,0.04584251,0.048350465,0.048350465,0.041668398,-0.039853436,-2.533471031,-2.569196515,0.949,0.927,0.927,1.981698282,1.87523578,1.87523578,1.617442657,-1.546103889,0.898585204,0.897969153,0.675731989
8,0.5,1,1.003827225,0.957,0.949,0.967,0.044912401,0.046398168,0.051265819,0.039474847,-0.038760384,0,-0.061980487,0.948,0.919,0.943,1.965929181,1.80053388,1.988765183,1.532462462,-1.503047921,0.898585204,0.897948518,0.694157141
9,0.6,1,1.002940058,0.96,0.951,0.951,0.045730331,0.04796562,0.04796562,0.038800656,-0.042473332,2.533471031,2.464161345,0.95,0.929,0.929,2.011624554,1.860620733,1.860620733,1.50381525,-1.648908964,0.898585204,0.897967395,0.707798927
10,0.7,1,1.002152453,0.967,0.972,0.949,0.047992066,0.054591313,0.048545092,0.042552854,-0.048967446,5.244005127,5.24352365,0.949,0.945,0.917,2.109797512,2.117174752,1.883096289,1.651433451,-1.897528913,0.898585204,0.897815337,0.716331793
11,0.75,1,1.000743719,0.955,0.952,0.952,0.049656412,0.053927789,0.053927789,0.039995015,-0.049363796,6.744897502,6.786016553,0.954,0.93,0.93,2.176278616,2.09179735,2.09179735,1.551363844,-1.914919328,0.898585204,0.897669694,0.71822583
12,0.8,1,1.000502897,0.957,0.944,0.951,0.052192574,0.054905858,0.056868356,0.038645064,-0.050814427,8.416212336,8.45248753,0.947,0.911,0.928,2.280737363,2.129762205,2.20615467,1.496235343,-1.97161861,0.898585204,0.897441793,0.717968157
13,0.9,1,1.000455471,0.96,0.944,0.954,0.063048024,0.070733559,0.07276019,0.041452127,-0.066841144,12.81551566,12.85302117,0.929,0.922,0.935,2.757775248,2.739627479,2.817298419,1.60421704,-2.588804389,0.898585204,0.896493407,0.708989458
14,0.95,1,0.999419556,0.938,0.977,0.919,0.075907657,0.144526495,0.087088177,0.050253975,-0.142753819,16.44853627,16.52380926,0.924,0.971,0.892,3.390343285,5.601992021,3.378616589,1.948081106,-5.532819741,0.898585204,0.894526259,0.697351652
15,0.975,1,0.999310848,0.914,0.859,0.896,0.083142585,0.095836762,0.102011082,0.048843512,-0.081099384,19.59963985,19.56684819,0.888,0.82,0.859,3.807960388,3.714885684,3.953050423,1.891701916,-3.143836433,0.898585204,0.892262147,0.687679376
