"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",0.025,1,0.998836882950924,0.88,0.638,0.638,0.176026991700949,0.127041974075868,0.127041974075868,0.031602190744756,-0.105763953874098,-7.17084849000554,-6.77620058847803,0.686,0.572,0.572,0.911153644044352,0.739360440667604,0.739360440667604,0.182333511326417,-0.616704784553988,0.725526158393055,0.69403487099052,0.470581744362071
"2",0.05,1,1.00064151240263,0.932,0.87,0.87,0.173478681344124,0.188090457503441,0.188090457503441,0.155770795234934,-0.105229032075857,-6.04072991670844,-5.80460477563009,0.809,0.788,0.788,1.00166994300038,1.09372273306241,1.09372273306241,0.90464890709024,-0.613190914463815,0.725526158393055,0.706342211413263,0.465071723292288
"3",0.1,1,1.00448163946873,0.966,0.986,0.93,0.162874172626444,0.293251797258123,0.180892375188844,0.287677962917724,-0.113844163990789,-4.69700051463356,-4.55593710803929,0.855,0.97,0.86,0.925994883975873,1.70625458048393,1.05419667275717,1.6736856755389,-0.662615156814185,0.725526158393055,0.713935504622222,0.470695367983765
"4",0.2,1,1.00020817159071,0.961,0.962,0.919,0.139227346753705,0.161804224382566,0.133114717569942,0.151734992916237,-0.0995635751160345,-3.08045846991705,-2.99811889665699,0.844,0.876,0.827,0.782726930221788,0.941731815387279,0.775361604104019,0.882621105904511,-0.579856885428572,0.725526158393055,0.71952223655135,0.483839118058451
"5",0.25,1,0.99935002474888,0.959,0.958,0.925,0.130887742775915,0.149624101355724,0.129294343879019,0.134305398572997,-0.100559014058604,-2.4769282521932,-2.42024015732844,0.847,0.872,0.824,0.749002885054532,0.871379782234533,0.752420241816797,0.782668236936747,-0.584916818837431,0.725526158393055,0.720638888994243,0.488606424473855
"6",0.3,1,0.996146990968553,0.962,0.961,0.938,0.127719930851781,0.144192423543974,0.128361966558004,0.128636004664142,-0.105184331608489,-1.9270637195226,-1.88711349486401,0.845,0.873,0.831,0.716629503171273,0.838877442878607,0.746726212442944,0.749380246856698,-0.610965830696678,0.725526158393055,0.721224181709228,0.49270725650649
"7",0.4,1,0.998681623014346,0.95,0.938,0.938,0.122506123176643,0.125997861365227,0.125997861365227,0.107402049255483,-0.0983478070545124,-0.939306329018654,-0.93363997054238,0.819,0.84,0.84,0.691175985404494,0.732942893233287,0.732942893233287,0.62409235400775,-0.572799301716599,0.725526158393055,0.721630864496683,0.497512171216065
"8",0.5,1,0.996227529827158,0.951,0.935,0.935,0.121623105998764,0.12123916978332,0.12123916978332,0.100613435791032,-0.0990146694000359,-0.000550725658193141,-0.0198362534696711,0.81,0.816,0.816,0.683797922723529,0.705544417110831,0.705544417110831,0.585278474627758,-0.576590040834439,0.725526158393055,0.722253257764294,0.499118942079145
"9",0.6,1,0.995124298209636,0.944,0.928,0.928,0.123686623929181,0.126558015860051,0.126558015860051,0.0981055326644416,-0.109138297379666,0.931192500736831,0.868386005549557,0.826,0.838,0.838,0.694419612864335,0.736986568685885,0.736986568685885,0.571676538043857,-0.635010612368051,0.725526158393055,0.721819332625386,0.497015865249347
"10",0.7,1,0.9940102357153,0.952,0.949,0.922,0.128378855753206,0.144073986367097,0.128306357008078,0.103503298118624,-0.129339696724161,1.93109624415987,1.84301586153796,0.829,0.869,0.836,0.724159497186629,0.83961703566094,0.747209361790533,0.602116633238115,-0.753926220391944,0.725526158393055,0.721159441090507,0.491515994982549
"11",0.75,1,0.993791641148503,0.962,0.951,0.93,0.131507228237239,0.148662115461762,0.128911135219911,0.10168945641379,-0.135092280176599,2.48229237542221,2.38075746740967,0.839,0.856,0.81,0.758576894167437,0.86686618481532,0.751518977013671,0.591606307455836,-0.787781734345295,0.725526158393055,0.720793097829391,0.487447557843088
"12",0.8,1,0.999022423101144,0.957,0.952,0.907,0.13945676370143,0.158679791820057,0.132638522777629,0.100170229917069,-0.148022137200184,3.08156603689908,2.97134910813278,0.835,0.868,0.814,0.789404498307887,0.9244218411092,0.77307856230704,0.58312311744928,-0.862291462352428,0.725526158393055,0.719183392767207,0.482781402266439
"13",0.9,1,1.00329968647221,0.953,0.985,0.914,0.163531532916448,0.300203716297847,0.178678392674402,0.11271838528501,-0.295508596660149,4.70578350711574,4.51879829709863,0.854,0.959,0.846,0.923578669710982,1.7496373840864,1.0415740968163,0.657417773777726,-1.72219840797865,0.725526158393055,0.71398951007846,0.469648877344894
"14",0.95,1,1.00112190300005,0.933,0.875,0.875,0.177600535319696,0.200663819689038,0.200663819689038,0.105143560540002,-0.168440029651062,6.00743583590105,5.74058383910379,0.816,0.808,0.808,1.02669043209431,1.16977586740363,1.16977586740363,0.61261849832081,-0.982172124313554,0.725526158393055,0.706422764796032,0.460851819810466
"15",0.975,1,1.01228461736186,0.885,0.647,0.647,0.181291410639943,0.131752353015226,0.131752353015226,0.110523574526519,-0.0314299528795418,7.16122579928232,6.82420370945593,0.693,0.574,0.574,0.9434033851873,0.768190578926307,0.768190578926307,0.646401516496614,-0.180380100475127,0.725526158393055,0.692613226389007,0.465602911708307
