row,quantile,popn_slope,sample_mean_slope,slopeCI_bootstrap_coverage,slopeCI_evd_max_coverage,slopeCI_binomial_max_coverage,mean_bootstrapCI_slope_std,mean_evd_maxCI_slope_std,mean_binomial_maxCI_slope_std,mean_evd_lb_slope_std,mean_evd_ub_slope_std,popn_intercept,sample_mean_intercept,interceptCI_bootstrap_coverage,interceptCI_evd_max_coverage,interceptCI_binomial_max_coverage,mean_bootstrapCI_intercept_std,mean_evd_maxCI_std,mean_binomial_maxCI_std,mean_evd_lb_std,mean_evd_ub_std,Rsquared,1-QR_residualVAR/YVAR,R1
1,0.025,1,1.014500311,0.858,0.654,0.654,0.09758838,0.072657037,0.072657037,0.016180095,-0.060993627,-19.59963985,-19.72662351,0.805,0.588,0.588,4.085101354,2.823044105,2.823044105,0.619809079,-2.376461972,0.899635529,0.886527382,0.574334685
2,0.05,1,1.001840777,0.938,0.886,0.886,0.095697068,0.110105264,0.110105264,0.092225766,-0.057849051,-16.44853627,-16.19567654,0.894,0.847,0.847,4.262698976,4.286511561,4.286511561,3.585547697,-2.250827685,0.899635529,0.893095109,0.580161913
3,0.1,1,1.0040051,0.954,0.983,0.921,0.088004183,0.165119796,0.097720383,0.16224957,-0.06092262,-12.81551566,-12.83630966,0.924,0.974,0.877,3.840897306,6.43007921,3.794728263,6.318888878,-2.366081731,0.899635529,0.895468967,0.600282266
4,0.2,1,1.001440293,0.955,0.962,0.927,0.074852933,0.087249389,0.072819115,0.080768394,-0.053975123,-8.416212336,-8.467380835,0.941,0.929,0.893,3.230552132,3.384408086,2.825251861,3.137506947,-2.090043605,0.899635529,0.89730179,0.631500337
5,0.25,1,1.001585192,0.955,0.956,0.93,0.070900322,0.081460749,0.071330329,0.073491991,-0.053987108,-6.744897502,-6.80720528,0.946,0.941,0.915,3.063480302,3.158461876,2.763905537,2.851434615,-2.091449819,0.899635529,0.897941093,0.644585325
6,0.3,1,1.000639138,0.954,0.957,0.934,0.069361612,0.078306969,0.069243416,0.070398556,-0.056410728,-5.244005127,-5.363764322,0.948,0.94,0.907,2.981767199,3.03551024,2.684492245,2.726136404,-2.19112106,0.899635529,0.898052103,0.656655645
7,0.4,1,0.999916627,0.959,0.946,0.946,0.066954572,0.069040614,0.069040614,0.058976238,-0.053657905,-2.533471031,-2.60801388,0.944,0.908,0.908,2.895106554,2.677621396,2.677621396,2.285714767,-2.086938946,0.899635529,0.898304635,0.677926976
8,0.5,1,0.998844584,0.964,0.939,0.939,0.066231917,0.066182665,0.066182665,0.055014194,-0.05356637,0,-0.003765007,0.939,0.901,0.901,2.881912667,2.570983512,2.570983512,2.141082808,-2.077300403,0.899635529,0.898405949,0.69594279
9,0.6,1,0.999272157,0.958,0.953,0.953,0.066878132,0.068315685,0.068315685,0.053801124,-0.057829392,2.533471031,2.47790105,0.949,0.926,0.926,2.891402714,2.65142467,2.65142467,2.086561064,-2.243987273,0.899635529,0.898316157,0.710404712
10,0.7,1,0.997690074,0.967,0.962,0.942,0.069544583,0.076336723,0.067799586,0.054885368,-0.068891406,5.244005127,5.188507308,0.946,0.942,0.913,2.978522584,2.965151796,2.633932172,2.129197187,-2.678731427,0.899635529,0.897930863,0.71924554
11,0.75,1,0.99851714,0.962,0.959,0.934,0.07135972,0.079119282,0.069073079,0.054576526,-0.070999021,6.744897502,6.660301135,0.955,0.933,0.914,3.071200857,3.067770659,2.680441685,2.120226257,-2.751992094,0.899635529,0.897807809,0.721024849
12,0.8,1,0.998466352,0.961,0.96,0.921,0.076021623,0.086432876,0.07144751,0.053584851,-0.081238392,8.416212336,8.244644978,0.952,0.927,0.878,3.244921043,3.347610468,2.770128071,2.082714765,-3.146645651,0.899635529,0.897372215,0.721343683
13,0.9,1,0.997133518,0.95,0.986,0.911,0.089429502,0.164462994,0.097442372,0.061298019,-0.162079806,12.81551566,12.63823953,0.931,0.978,0.878,3.859473155,6.392229767,3.781665502,2.372305653,-6.301213174,0.899635529,0.895121238,0.714917565
14,0.95,1,0.999308447,0.924,0.878,0.878,0.097362206,0.109181867,0.109181867,0.057059535,-0.092712527,16.44853627,15.97613276,0.892,0.836,0.836,4.282800141,4.245029483,4.245029483,2.212205067,-3.605648277,0.899635529,0.892520351,0.706306428
15,0.975,1,0.98659672,0.849,0.66,0.66,0.10065276,0.074472903,0.074472903,0.059833797,-0.019807658,19.59963985,19.37748051,0.793,0.593,0.593,4.155404138,2.896595338,2.896595338,2.335841683,-0.758331795,0.899635529,0.886762364,0.704149296
