"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",0.025,1,0.998911418043107,0.854,0.355,0.355,0.9316810594893,0.301607358873778,0.301607358873778,0.000725660483574892,-0.300881698390205,-29.9194227446442,-30.2381709023991,0.764,0.272,0.272,7.76795437016223,2.26787521447044,2.26787521447044,0.00453164091965133,-2.2633435735508,0.572137615708336,0.331619256658094,0.336797568292831,0.5,0.544003334225656,0.862,0.293,0.293,0.191553677410765,0.0586102046144995,0.0586102046144995,0.000142221429505053,-0.0584679831849947
"2",0.05,1,1.03074039269186,0.885,0.762,0.762,0.882650074477018,1.01311109505118,1.01311109505118,0.877049491813299,-0.404634547408481,-22.9610177320566,-23.1388611076751,0.869,0.745,0.745,7.82169097350869,7.58374179065485,7.58374179065485,6.54101244150743,-3.0391496827195,0.572137615708336,0.439475767784105,0.294140305605155,0.5,0.494606133577106,0.917,0.782,0.782,0.176470734999028,0.196748596270877,0.196748596270877,0.17021021875171,-0.0785656857838417
"3",0.1,1,1.02781150536733,0.948,0.982,0.901,0.790342053878719,1.7843726708679,0.931631033771025,1.76923857246542,-0.429711252307364,-16.045580595926,-16.1903766992808,0.924,0.972,0.865,6.6292431254596,13.346763568741,6.99587531513563,13.2367236180656,-3.20654847848452,0.572137615708336,0.518604044330513,0.288988168941798,0.5,0.490879207717154,0.957,0.981,0.898,0.150286939521553,0.345907075423713,0.180747784299675,0.34299635484193,-0.0833153641721313
"4",0.2,1,0.990088069701295,0.976,0.931,0.891,0.594832571847311,0.664106932299818,0.508532140490963,0.636430566502244,-0.319947261701402,-9.13262115242826,-9.23305259515838,0.94,0.93,0.87,4.61364694447134,4.97729385799746,3.80801345145925,4.77319058778991,-2.38663675642023,0.572137615708336,0.55087942474517,0.320762251420886,0.5,0.492170917438068,0.965,0.944,0.894,0.111886693698728,0.128844595864527,0.098613099885237,0.123539954336155,-0.06192387833055
"5",0.25,1,0.995100875122978,0.971,0.938,0.904,0.527961153105464,0.555205293059428,0.449135709435631,0.527572755525389,-0.295092403432256,-6.91872347421641,-6.9164058576216,0.951,0.934,0.884,4.02157407294702,4.16106444745234,3.36536717350767,3.95458558120991,-2.21169791747008,0.572137615708336,0.556757967957859,0.33949922731378,0.5,0.490055021946634,0.969,0.944,0.902,0.0995961637264011,0.107667676812487,0.0870491785742661,0.10231971811957,-0.0571816281207648
"6",0.3,1,1.00208136731638,0.981,0.953,0.925,0.47720295178954,0.487968681987878,0.413384381631908,0.461208391563737,-0.281919669276009,-5.09827193510386,-5.12807765456035,0.953,0.932,0.894,3.5900896239195,3.65599853012787,3.08944069681335,3.45619022088496,-2.11082895002376,0.572137615708336,0.559578661721608,0.358147062445402,0.5,0.491612433102319,0.975,0.941,0.914,0.0905507075015279,0.0945521402069365,0.0801127989076754,0.0893428556235534,-0.0546787977398463
"7",0.4,1,0.9956620716465,0.981,0.93,0.93,0.412285400132906,0.3537537742053,0.3537537742053,0.314845546923327,-0.248584232877539,-2.22829216183622,-2.37749594014587,0.967,0.924,0.924,3.05042721429561,2.64740225557028,2.64740225557028,2.35176281026759,-1.86648350060148,0.572137615708336,0.562217736096031,0.389262710338353,0.5,0.497445743197996,0.974,0.928,0.928,0.0788925211684791,0.0686256412816816,0.0686256412816816,0.0610368045580098,-0.0482549836795549
"8",0.5,1,0.996631999000949,0.98,0.925,0.925,0.390140937369593,0.31916557331511,0.31916557331511,0.256170172420837,-0.257815051456034,0.00066588991964843,-0.0547470069108927,0.972,0.909,0.909,2.90896156961682,2.39268654684654,2.39268654684654,1.92146672937956,-1.93418634157428,0.572137615708336,0.563166730298355,0.411531788403759,0.5,0.499750597676697,0.974,0.921,0.921,0.0752505650033961,0.0618957732995013,0.0618957732995013,0.0497166402316352,-0.0499987010994395
"9",0.6,1,0.996984332938518,0.978,0.943,0.943,0.408766209277884,0.360509302262224,0.360509302262224,0.250561449344221,-0.320262305098253,2.24555578339548,2.39978377821744,0.956,0.908,0.908,3.10467326965142,2.70668391511447,2.70668391511447,1.88489106576283,-2.39808877599906,0.572137615708336,0.562748631193845,0.423624071928367,0.5,0.500543802694499,0.976,0.92,0.92,0.079093834545262,0.0699112317423169,0.0699112317423169,0.0486159579152321,-0.0620889091108414
"10",0.7,1,0.996528973904135,0.976,0.952,0.926,0.472413946502923,0.490106215722721,0.413656733250267,0.285112896717171,-0.461538330418477,5.13602685605397,5.30357967824057,0.944,0.914,0.88,3.62204848808327,3.67639725981106,3.10454179594278,2.13217417233667,-3.46394225226794,0.572137615708336,0.560517342289312,0.425729186665304,0.5,0.500221452336813,0.972,0.937,0.907,0.0902528059684149,0.0949541654073265,0.0801326133797687,0.0552446748319935,-0.0894282899686113
