"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",0.025,1,0.998911418043107,0.854,0.347,0.546,0.9316810594893,0.292419183692191,0.519902924839954,0.000703553941909798,-0.291715629750282,-29.9194227446442,-30.2381709023991,0.764,0.268,0.427,7.76795437016223,2.19878659926442,3.89471942716253,0.00439358888144747,-2.19439301038298,0.572137615708336,0.331619256658094,0.336797568292831,0.5,0.544003334225656,0.862,0.29,0.494,0.191553677410765,0.0568247016697518,0.100774876743559,0.000137888791820921,-0.0566868128779311
"2",0.05,1,1.03074039269186,0.885,0.751,0.806,0.882650074477018,0.982247649760917,1.04728299597149,0.850331031084112,-0.392307749017373,-22.9610177320566,-23.1388611076751,0.869,0.733,0.789,7.82169097350869,7.35271046448079,7.84329919116038,6.34174685196103,-2.94656494011851,0.572137615708336,0.439475767784105,0.294140305605155,0.5,0.494606133577106,0.917,0.776,0.832,0.176470734999028,0.190754841423453,0.203344117777954,0.165024929793818,-0.076172258491686
"3",0.1,1,1.02781150536733,0.948,0.98,0.912,0.790342053878719,1.7300134909381,0.927845577282667,1.71534043814093,-0.41662051646311,-16.045580595926,-16.1903766992808,0.924,0.966,0.88,6.6292431254596,12.9401673827768,6.96516539395826,12.8334796922967,-3.10886409419568,0.572137615708336,0.518604044330513,0.288988168941798,0.5,0.490879207717154,0.957,0.978,0.906,0.150286939521553,0.335369352413864,0.180004712435461,0.33254730410689,-0.0807772425421094
"4",0.2,1,0.990088069701295,0.976,0.926,0.926,0.594832571847311,0.643875559776076,0.643875559776076,0.617042327575399,-0.31020037919708,-9.13262115242826,-9.23305259515838,0.94,0.921,0.921,4.61364694447134,4.82566543597126,4.82566543597126,4.62777997360767,-2.31393018621356,0.572137615708336,0.55087942474517,0.320762251420886,0.5,0.492170917438068,0.965,0.939,0.939,0.111886693698728,0.124919470421883,0.124919470421883,0.119776429644302,-0.0600374275352214
"5",0.25,1,0.995100875122978,0.971,0.935,0.944,0.527961153105464,0.538291503179024,0.551314791622253,0.511500764056411,-0.286102700039025,-6.91872347421641,-6.9164058576216,0.951,0.926,0.946,4.02157407294702,4.03430166146518,4.12881503330349,3.83411297329206,-2.14432068904187,0.572137615708336,0.556757967957859,0.33949922731378,0.5,0.490055021946634,0.969,0.943,0.953,0.0995961637264011,0.104387685635741,0.106892943048218,0.0992026473089516,-0.0554396453710606
"6",0.3,1,1.00208136731638,0.981,0.947,0.947,0.47720295178954,0.473103190144526,0.473103190144526,0.447158125970982,-0.273331260431757,-5.09827193510386,-5.12807765456035,0.953,0.93,0.93,3.5900896239195,3.54462208664892,3.54462208664892,3.35090074343667,-2.04652459669629,0.572137615708336,0.559578661721608,0.358147062445402,0.5,0.491612433102319,0.975,0.935,0.935,0.0905507075015279,0.0916717011113541,0.0916717011113541,0.086621112322071,-0.0530130612862389
"7",0.4,1,0.9956620716465,0.981,0.961,0.947,0.412285400132906,0.40831150514748,0.39504564838564,0.373542029080298,-0.284574293485254,-2.22829216183622,-2.37749594014587,0.967,0.952,0.943,3.05042721429561,3.05852159362129,2.95890316766606,2.79643295499424,-2.13689369374455,0.572137615708336,0.562217736096031,0.389262710338353,0.5,0.497445743197996,0.974,0.957,0.948,0.0788925211684791,0.0792578075777627,0.0766932786239239,0.0724928281380146,-0.0552128389417776
"8",0.5,1,0.996631999000949,0.98,0.961,0.918,0.390140937369593,0.367865983580662,0.309442504188079,0.299250707488035,-0.303942472904826,0.00066588991964843,-0.0547470069108927,0.972,0.941,0.901,2.90896156961682,2.75825295033602,2.3197956756518,2.24308985055234,-2.2780122290973,0.572137615708336,0.563166730298355,0.411531788403759,0.5,0.499750597676697,0.974,0.956,0.909,0.0752505650033961,0.0713341428232647,0.06001017869664,0.0580734784833029,-0.0589184964873191
"9",0.6,1,0.996984332938518,0.978,0.97,0.962,0.408766209277884,0.418249156410009,0.403100629938022,0.288836659931744,-0.378943130767393,2.24555578339548,2.39978377821744,0.956,0.939,0.928,3.10467326965142,3.14068344674245,3.026328631033,2.1707439491938,-2.84008663065955,0.572137615708336,0.562748631193845,0.423624071928367,0.5,0.500543802694499,0.976,0.958,0.943,0.079093834545262,0.0811250619796599,0.0781797333643066,0.056049807108159,-0.0734810050158537
"10",0.7,1,0.996528973904135,0.976,0.943,0.943,0.472413946502923,0.475175605990716,0.475175605990716,0.27642720930109,-0.447478013559042,5.13602685605397,5.30357967824057,0.944,0.909,0.909,3.62204848808327,3.56439938884933,3.56439938884933,2.06721955754796,-3.35841661671453,0.572137615708336,0.560517342289312,0.425729186665304,0.5,0.500221452336813,0.972,0.933,0.933,0.0902528059684149,0.092061479004575,0.092061479004575,0.0535616994825139,-0.0867039439928047
