"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",0.025,0.997533443560351,1.04159614800463,0.9598,0.8006,0.8506,0.249782642142365,0.195890573546755,0.210722215253792,0.174259957904384,-0.0760550034808648,-18.5350670290352,-18.209838354967,0.8708,0.7802,0.8354,2.88482708803119,2.79615142796401,3.06536934758127,2.50717262878471,-1.06920514468169,0.95108500403293,0.944056562681592,0.669213032560948,1.00246180714279,1.00259432643294,0.918,0.8008,0.8442,0.0952134507863684,0.0995759833679186,0.10681977289845,0.0891087700566724,-0.0376278696262508
"2",0.05,0.996533778630172,1.0270988470194,0.9698,0.971,0.9026,0.218834117926958,0.324750627210318,0.19001381532307,0.321219894753841,-0.0929941805092903,-15.3617926595393,-15.2249937441491,0.9286,0.9794,0.9056,2.62069094247872,5.99737663016979,2.76547566320913,5.94640642559491,-1.63128197207059,0.95108500403293,0.94731982088544,0.679430094772683,1.00295843235993,1.00304520972121,0.9484,0.9754,0.9108,0.0851018088642073,0.163795417121499,0.0955697022280464,0.162079616173114,-0.0466896627932297
"3",0.1,0.998735903316891,1.02024137419111,0.9762,0.9256,0.938,0.182382893238375,0.150105502035942,0.155093780125101,0.14095063541596,-0.082522561078595,-11.7660547669229,-11.7317376072292,0.944,0.9266,0.9448,2.17164473155279,2.19047878803094,2.29813837310151,2.06602136754626,-1.20612115761268,0.95108500403293,0.949114876509638,0.695023536131253,1.00169139023661,1.00187037817793,0.9484,0.9272,0.9396,0.0706390750009921,0.0754577934416376,0.0779181185118747,0.0711066914323302,-0.0410786490844473
"4",0.2,0.998882710627466,1.01009634152606,0.9814,0.9378,0.9378,0.15489351468585,0.119345542339645,0.119345542339645,0.109513324263597,-0.0822366955847213,-7.38158225292945,-7.36710826614348,0.9536,0.934,0.934,1.83137084155548,1.78471306644172,1.78471306644172,1.63701340119131,-1.24297580052244,0.95108500403293,0.950042799137672,0.715461364070305,1.00118655640035,1.00092923162662,0.9542,0.9308,0.9308,0.0595748245178166,0.0599383350963245,0.0599383350963245,0.0549393641096335,-0.0413554665682402
"5",0.25,0.999269099267236,1.00688998243303,0.9842,0.9532,0.9598,0.147912269229167,0.117597477350779,0.122138830698359,0.107047858864285,-0.0853346222672069,-5.71095056455032,-5.69933356613172,0.9598,0.952,0.9636,1.73638795571053,1.75325966909051,1.8458545984336,1.60041909286671,-1.27685856384918,0.95108500403293,0.950229027727778,0.722895795359922,1.0009081590417,1.00104100296012,0.9594,0.9476,0.9568,0.0566244254094409,0.0591784029963095,0.0614907831807824,0.0539404723046257,-0.0428602780324833
"6",0.3,0.999202923283473,1.00489357980336,0.9854,0.9606,0.9606,0.143168938877214,0.118695060871475,0.118695060871475,0.106921100495551,-0.0903549785997444,-4.21549752554365,-4.21636838707326,0.9538,0.961,0.961,1.67383550537604,1.79411217715126,1.79411217715126,1.61761389953506,-1.37255829631755,0.95108500403293,0.9503688325287,0.729149764568229,1.00091264803052,1.00122413762451,0.9586,0.961,0.961,0.0546916320689735,0.0597752180885118,0.0597752180885118,0.0538539558078881,-0.0453931749042115
"7",0.4,0.999191886962109,1.00245615982352,0.9852,0.9484,0.9608,0.138204820111299,0.104724179769649,0.112138221339084,0.0912522728799606,-0.0845487574704028,-1.53017002377492,-1.51396441321374,0.9494,0.9398,0.9584,1.61248114819093,1.56496517909644,1.69908904451625,1.36373748709443,-1.26921539235071,0.95108500403293,0.950519171482882,0.739297437709837,1.00081287986813,1.000406293131,0.954,0.9436,0.9554,0.0526873726809987,0.0527910824610365,0.0565160630475774,0.0459952377833152,-0.0425849520564291
"8",0.5,0.999242201617697,0.99922957838631,0.9844,0.9416,0.9416,0.136673647192357,0.101836630209535,0.101836630209535,0.0847525966768553,-0.0856412005851517,1.01504850499324,1.00736703874673,0.9498,0.947,0.947,1.59746767989435,1.53998977588682,1.53998977588682,1.2905039687916,-1.29975456857392,0.95108500403293,0.950551251326847,0.747596818663621,1.0006575220093,1.00049372658847,0.9568,0.936,0.936,0.0523615832208404,0.0511773824597127,0.0511773824597127,0.0427149552963126,-0.0430584268278926
"9",0.6,0.999706210312925,0.996284762451532,0.9852,0.9452,0.9586,0.138321867602745,0.10530107245968,0.112621049768778,0.0850045763687851,-0.0909117406248588,3.54386228296875,3.55078174808856,0.9458,0.938,0.956,1.61490187702335,1.56739681125836,1.70265874988799,1.27149869944614,-1.35507926719821,0.95108500403293,0.950507140252766,0.755542752882856,1.00029988041832,1.00025008074713,0.9572,0.941,0.9564,0.052999594525957,0.0529395469513121,0.0566900579224618,0.0427142262964061,-0.0457505902440728
"10",0.7,1.00040514795956,0.991655298939267,0.9852,0.9596,0.9596,0.143644147399496,0.119195640803498,0.119195640803498,0.089975140994397,-0.107598453151775,6.24817829344462,6.25203798402943,0.9494,0.9604,0.9604,1.68017101213243,1.80114420567998,1.80114420567998,1.37086648524394,-1.62498258262453,0.95108500403293,0.950378646861525,0.765069600589663,0.999956734607904,1.00010363505798,0.9554,0.956,0.956,0.0549769035040457,0.0600061182132897,0.0600061182132897,0.0453445141181067,-0.0540914702694028
"11",0.75,0.999899773429614,0.989493687904527,0.9842,0.9492,0.9566,0.148290743651309,0.117224533364274,0.122006746225686,0.0856147369751355,-0.105751542601094,7.74584328318698,7.75791285828937,0.9494,0.9428,0.9576,1.73711436638557,1.74969506188409,1.84412503989149,1.27919403827752,-1.58456931865256,0.95108500403293,0.950254842796304,0.771509697287028,1.00025523825699,0.999820141165954,0.9526,0.9478,0.9556,0.0567911890098091,0.0590968558261905,0.0614582632134535,0.0429737138497541,-0.0534184471133589
"12",0.8,0.999389805600049,0.987356641380233,0.9822,0.9344,0.9344,0.155333140180782,0.119231503808797,0.119231503808797,0.0818022039541776,-0.108777531214214,9.41871569697702,9.41512284606132,0.9508,0.9352,0.9352,1.8217726210909,1.78595674265666,1.78595674265666,1.23367654564883,-1.63351996663694,0.95108500403293,0.950059345821889,0.780143453599683,1.00053647698401,1.00000434214254,0.9592,0.9374,0.9374,0.0596009705727305,0.0600731352914728,0.0600731352914728,0.0410847855898637,-0.0549290516341697
"13",0.9,0.99871000792952,0.975947540756107,0.973,0.9204,0.9334,0.184013192558525,0.152095945451035,0.156927432303177,0.0815650163294359,-0.143630614681567,13.8114482317869,13.7497095174544,0.9396,0.9196,0.9372,2.17765388784354,2.22539649370094,2.33122187439583,1.20304957323477,-2.11051274823198,0.95108500403293,0.949019055038672,0.811873132170766,1.0010470930618,1.00041391846622,0.9556,0.9294,0.9402,0.071420602966575,0.0766781845067108,0.0790722016350047,0.0409611689371911,-0.0726788762680194
"14",0.95,0.998529653665721,0.963439402188385,0.967,0.9742,0.8992,0.218437991970582,0.316996038507467,0.185611494507339,0.0936188418971738,-0.313262200699753,17.4017301197561,17.2899461077295,0.9268,0.9774,0.902,2.61709267700886,5.92286016583487,2.7169221760735,1.64644365153599,-5.86929586759586,0.95108500403293,0.947272627169138,0.845754944719382,1.00166326905135,1.00164497516605,0.9434,0.9766,0.9068,0.0852687398877477,0.16040510320072,0.0937652940695481,0.0469775783212192,-0.158584439378147
"15",0.975,0.997227891236651,0.950354421505758,0.9556,0.8002,0.8492,0.247952423515876,0.195864425367961,0.2098416510082,0.0743293963638759,-0.173518115717946,20.5292438360573,20.1953571153224,0.8712,0.7862,0.844,2.86974625980102,2.78414588051734,3.0463083123635,1.06215534458003,-2.48030729819382,0.95108500403293,0.944591847645932,0.872860716093072,1.00268922008743,1.00184806524637,0.921,0.8164,0.8556,0.094930553568842,0.0991193233403225,0.106169219416071,0.037402712345917,-0.088096191371869
