"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34"
"1",0.025,1.00040786916812,0.980389493263239,0.9092,0.3736,0.582,0.0723404347526348,0.0234968663448325,0.038601370284188,0.00487333505562902,-0.0186235312892379,-109.500485837303,-108.397856955802,0.801,0.3176,0.5154,4.10047747785658,1.22807729742517,2.15787524341263,0.276578217849439,-0.951499079577457,0.999999716058945,0.999999640614009,0.998801811405576,0.999995615443282,1.00010686053843,0.9228,0.3604,0.5694,0.000356051771861061,0.000109457159135126,0.000180096461099196,2.21089659417316e-05,-8.73481931935496e-05
"2",0.05,0.999786020360881,0.988684241159301,0.9442,0.7986,0.8534,0.067371602609069,0.0582173061425477,0.0634557352113322,0.0500110248409089,-0.0256728312351494,-106.38719854544,-105.790914495375,0.8858,0.7622,0.8334,4.11008008866136,3.45853068251297,3.95689392618578,3.00128187798281,-1.54263904343858,0.999999716058945,0.999999673793575,0.998861256665356,0.999998734379009,1.00006453533406,0.9506,0.7938,0.8474,0.000328284170169619,0.000271528917245933,0.000296007567209067,0.000232962113584005,-0.000120107254025875
"3",0.1,0.999799402628921,0.993966082250051,0.961,0.978,0.915,0.0603410805553861,0.098727034272402,0.0593102637836287,0.0971214497518266,-0.0330728821625608,-102.764478864999,-102.497565372686,0.9332,0.981,0.9028,3.84250087558326,9.22097968726699,3.77293322995645,9.1164323445485,-2.86147560251474,0.999999716058945,0.999999692070027,0.998976785919995,0.999999838866368,1.00003464441719,0.9684,0.9734,0.9048,0.000290462039471676,0.000460176712224726,0.000276657481167033,0.000452635280107838,-0.000154463621802074
"4",0.2,0.99949793269555,0.996379939046867,0.9704,0.946,0.946,0.052948603191364,0.0518381659296466,0.0518381659296466,0.0478391599991292,-0.0305919972557252,-98.3318452052533,-98.1764708814801,0.9528,0.937,0.937,3.38039897137241,3.36102629300345,3.36102629300345,3.10238158639166,-2.04143898117714,0.999999716058945,0.999999703899752,0.999139411988108,0.999999619545417,1.00001709949291,0.977,0.9408,0.9408,0.000252772296257186,0.000241878171050493,0.000241878171050493,0.000223354433012091,-0.000142497256843092
"5",0.25,0.999803001190551,0.997114616428396,0.976,0.9484,0.9596,0.0508260648556116,0.0482504003903976,0.0505805834694835,0.0435916313530225,-0.0314112052584127,-96.6440567504376,-96.5536051470608,0.955,0.9332,0.9542,3.23489412752694,3.10274939008045,3.36550738631096,2.8134793655249,-2.05302248326066,0.999999716058945,0.999999706085309,0.999199665941211,0.999997455086733,1.00001272689801,0.9796,0.9468,0.9568,0.000242718482190377,0.000224965653440913,0.000235873206695986,0.000203280286779618,-0.000146526540243935
"6",0.3,0.999616555532901,0.998059316004393,0.9756,0.952,0.952,0.0493501060422248,0.0465663305029799,0.0465663305029799,0.0414254705604471,-0.0325912268060368,-95.1518911248102,-95.1088756056456,0.956,0.9458,0.9458,3.13287048697792,3.0918139996076,3.0918139996076,2.75647557637802,-2.20969922465037,0.999999716058945,0.999999707685998,0.999251204060626,0.999999266838041,1.00000873230107,0.981,0.9462,0.9462,0.000235409799593861,0.00021706897679559,0.00021706897679559,0.000192937198190313,-0.000152113640558864
"7",0.4,0.999930791692575,0.999255220131275,0.9744,0.9626,0.9536,0.0474846478689099,0.0476761654088894,0.0453962332735127,0.041179761290547,-0.0363531836645322,-92.4736468949033,-92.4465791307177,0.9568,0.9658,0.951,3.01712932577011,3.31661240583426,3.01770718779543,2.85101319742604,-2.58723661616212,0.999999716058945,0.999999709138617,0.999336035816327,0.999998640252543,1.00000342551894,0.9808,0.9634,0.9528,0.000226764465063102,0.000222468107141536,0.00021183346392322,0.000192048186312496,-0.000169684248454179
"8",0.5,0.999760451613646,1.00011739284942,0.9766,0.9606,0.9232,0.0470244538641618,0.0454572640410939,0.0387945950832138,0.0372630203129039,-0.0373784063396158,-89.9035778398717,-89.932196032107,0.9622,0.967,0.9196,2.98900057303461,3.40952348142286,2.60160858417064,2.81859020099423,-2.82076008572656,0.999999716058945,0.999999709666605,0.999404856874583,0.999998881991682,0.999997125812708,0.981,0.9604,0.924,0.000224433818878503,0.000212227606922768,0.000181072204082333,0.000173979024769058,-0.000174396938045121
"9",0.6,0.999914156993845,1.0014884840404,0.974,0.9648,0.952,0.0476464149695448,0.0476306462365974,0.045215962919303,0.036401660648955,-0.041326215957852,-87.3745130465439,-87.4381046827687,0.959,0.9674,0.9502,3.02540151312362,3.32071917873306,3.00468664401297,2.60125647076527,-2.86190183576247,0.999999716058945,0.999999709293819,0.999463829121023,0.999998657653988,0.999990077111221,0.9788,0.9648,0.9524,0.000227301989810743,0.000222494844937484,0.000211217087936107,0.000169801946674003,-0.000193143615401995
"10",0.7,1.00021644308083,1.00212293358773,0.9718,0.9432,0.9432,0.0492379682595507,0.0463760745026124,0.0463760745026124,0.0322889013975581,-0.0412688082348981,-84.6901975229351,-84.7664328906826,0.9602,0.9442,0.9442,3.13759017309339,3.07487512543935,3.07487512543935,2.18211522357364,-2.74474623696894,0.999999716058945,0.99999970743274,0.999517007665636,0.999998752673163,0.999986294529714,0.9756,0.9414,0.9414,0.000234736009161991,0.00021642410057334,0.00021642410057334,0.000150933608269838,-0.000192428814928513
